pic_id,pred
pic_2011145773,0.205126
pic_2011166734,0.979875
pic_2011186376,0.949864
pic_2011212927,0.981605
pic_2011235335,0.944214
pic_2011236069,0.976291
pic_2011247002,0.884568
pic_2011247901,0.584444
pic_2011251049,0.918124
pic_2011258837,0.956619
pic_2011259751,0.983082
pic_2011284149,0.941362
pic_2011316301,0.764028
pic_2011341615,0.992273
pic_2011352608,0.984403
pic_2011354519,0.930566
pic_2011356400,0.952863
pic_2011356916,0.907950
pic_2011367246,0.685301
pic_2011389441,0.012736
pic_2011399634,0.999126
pic_2011404228,0.623001
pic_2011414574,0.906091
pic_2011425797,0.595706
pic_2011428824,0.913452
pic_2011451614,0.949729
pic_2011490905,0.999449
pic_2011514792,0.871169
pic_2011522856,0.960894
pic_2011523481,0.431869
pic_2011548633,0.500475
pic_2011591580,0.994879
pic_2011624617,0.069923
pic_2011630482,0.987662
pic_2011652161,0.903656
pic_2011663815,0.980333
pic_2011679310,0.430833
pic_2011722359,0.538889
pic_2011723191,0.992460
pic_2011726745,0.933625
pic_2011731608,0.981284
pic_2011733890,0.805647
pic_2011737455,0.995793
pic_2011769372,0.999087
pic_2011778242,0.027598
pic_2011789805,0.849820
pic_2011791045,0.945391
pic_2011795767,0.306575
pic_2011807962,0.981679
pic_2011811024,0.981206
pic_2011819135,0.912308
pic_2011821180,0.964639
pic_2011823406,0.433971
pic_2011826386,0.119823
pic_2011831958,0.937571
pic_2011838645,0.734820
pic_2011874176,0.962007
pic_2011876236,0.584031
pic_2011878126,0.967612
pic_2011906676,0.828399
pic_2011906733,0.666790
pic_2011908944,0.991256
pic_2011932917,0.451645
pic_2011964210,0.496861
pic_2011976306,0.917479
pic_2011989733,0.998413
pic_2012005500,0.972654
pic_2012009670,0.986080
pic_2012036152,0.692929
pic_2012086214,0.645899
pic_2012091670,0.420902
pic_2012096776,0.630790
pic_2012118030,0.993154
pic_2012166695,0.774163
pic_2012192944,0.658001
pic_2012194456,0.825031
pic_2012209273,0.997966
pic_2012212638,0.978570
pic_2012244182,0.158287
pic_2012252996,0.375163
pic_2012261018,0.741628
pic_2012275680,0.836726
pic_2012296256,0.932317
pic_2012307073,0.858059
pic_2012310878,0.756385
pic_2012331000,0.882414
pic_2012395164,0.670359
pic_2012408948,0.917863
pic_2012418303,0.797391
pic_2012433286,0.756428
pic_2012463016,0.949258
pic_2012480917,0.975045
pic_2012496158,0.905558
pic_2012502256,0.982009
pic_2012503722,0.946263
pic_2012512050,0.963300
pic_2012539617,0.976774
pic_2012560161,0.757728
pic_2012581677,0.945276
pic_2012585303,0.375213
pic_2012628859,0.355737
pic_2012638736,0.863142
pic_2012676778,0.852699
pic_2012691027,0.978222
pic_2012707518,0.475049
pic_2012711229,0.074406
pic_2012716293,0.827335
pic_2012778223,0.568199
pic_2012784224,0.995739
pic_2012824788,0.072369
pic_2012831518,0.009413
pic_2012848652,0.958320
pic_2012848696,0.958490
pic_2012855240,0.973597
pic_2012862797,0.495937
pic_2012875740,0.392098
pic_2012890173,0.997488
pic_2012892473,0.929313
pic_2012919232,0.566317
pic_2012928649,0.774218
pic_2012937741,0.663795
pic_2012952717,0.210900
pic_2012988233,0.770162
pic_2012992470,0.575512
pic_2013012299,0.593083
pic_2013042072,0.365136
pic_2013043624,0.852802
pic_2013074685,0.970184
pic_2013083156,0.992340
pic_2013086370,0.953012
pic_2013102664,0.673319
pic_2013111933,0.964075
pic_2013148896,0.998345
pic_2013151460,0.773352
pic_2013204182,0.948003
pic_2013235352,0.439140
pic_2013244214,0.031499
pic_2013245805,0.520991
pic_2013262369,0.959472
pic_2013294225,0.832953
pic_2013296929,0.019108
pic_2013296958,0.991313
pic_2013324743,0.702504
pic_2013335134,0.729081
pic_2013339434,0.384686
pic_2013341266,0.844686
pic_2013341819,0.978164
pic_2013361219,0.581011
pic_2013411550,0.458850
pic_2013446749,0.965307
pic_2013475570,0.846496
pic_2013476155,0.276590
pic_2013547287,0.939324
pic_2013553108,0.974594
pic_2013556656,0.581504
pic_2013575487,0.991682
pic_2013581494,0.013022
pic_2013619498,0.096560
pic_2013623779,0.995219
pic_2013643175,0.867817
pic_2013652185,0.998030
pic_2013685829,0.009148
pic_2013715660,0.998229
pic_2013744742,0.896869
pic_2013760472,0.965515
pic_2013765655,0.579278
pic_2013771430,0.885187
pic_2013771446,0.821755
pic_2013796084,0.873491
pic_2013803483,0.592316
pic_2013813607,0.292518
pic_2013839209,0.970830
pic_2013881803,0.973610
pic_2013892829,0.819784
pic_2013905825,0.995822
pic_2013910531,0.964155
pic_2013913006,0.975468
pic_2013926914,0.925878
pic_2013939462,0.405820
pic_2013968362,0.936936
pic_2013976456,0.825254
pic_2013988901,0.620763
pic_2014035150,0.990817
pic_2014061184,0.019224
pic_2014077763,0.969841
pic_2014086656,0.864758
pic_2014088945,0.962379
pic_2014096201,0.912985
pic_2014110584,0.432399
pic_2014158951,0.969454
pic_2014174067,0.988882
pic_2014177567,0.113265
pic_2014189542,0.954548
pic_2014217913,0.994927
pic_2014245276,0.988092
pic_2014245575,0.989643
pic_2014251977,0.928927
pic_2014264294,0.855313
pic_2014267815,0.978953
pic_2014271495,0.920058
pic_2014282719,0.998656
pic_2014332898,0.944726
pic_2014334750,0.619984
pic_2014335105,0.352350
pic_2014346074,0.983755
pic_2014355299,0.467384
pic_2014360333,0.546474
pic_2014380194,0.798852
pic_2014396805,0.997487
pic_2014398165,0.718751
pic_2014419772,0.814544
pic_2014472693,0.992330
pic_2014474516,0.310346
pic_2014479055,0.169060
pic_2014480161,0.805877
pic_2014514551,0.097485
pic_2014524690,0.332230
pic_2014526675,0.796172
pic_2014527909,0.995605
pic_2014546026,0.937891
pic_2014601256,0.990564
pic_2014645696,0.998233
pic_2014659766,0.981905
pic_2014667281,0.939746
pic_2014702424,0.757966
pic_2014707914,0.991842
pic_2014720852,0.985004
pic_2014723554,0.950960
pic_2014723684,0.026807
pic_2014745884,0.191809
pic_2014766408,0.973593
pic_2014776398,0.883859
pic_2014810478,0.949487
pic_2014811997,0.400576
pic_2014831235,0.919782
pic_2014862843,0.917312
pic_2014879589,0.929901
pic_2014899753,0.633066
pic_2014901704,0.963175
pic_2014936269,0.828252
pic_2014936405,0.996717
pic_2014941928,0.033263
pic_2014998269,0.827226
pic_2015000816,0.562838
pic_2015019704,0.994908
pic_2015051061,0.751485
pic_2015053162,0.995670
pic_2015059393,0.769291
pic_2015064119,0.989270
pic_2015089359,0.978989
pic_2015120766,0.921479
pic_2015122325,0.993078
pic_2015143006,0.881165
pic_2015167436,0.048374
pic_2015169779,0.942902
pic_2015172112,0.293165
pic_2015175227,0.991768
pic_2015176000,0.988729
pic_2015189565,0.508057
pic_2015191600,0.919392
pic_2015192134,0.957766
pic_2015212761,0.114054
pic_2015230819,0.479633
pic_2015244138,0.510400
pic_2015251328,0.242880
pic_2015286276,0.826827
pic_2015301079,0.917262
pic_2015319229,0.995423
pic_2015323165,0.174788
pic_2015354275,0.990911
pic_2015385127,0.925236
pic_2015428589,0.988700
pic_2015447616,0.770629
pic_2015458049,0.838159
pic_2015467374,0.979778
pic_2015503965,0.923192
pic_2015506184,0.999317
pic_2015532365,0.996429
pic_2015564858,0.894056
pic_2015589571,0.966883
pic_2015603470,0.999725
pic_2015608115,0.564233
pic_2015625174,0.989355
pic_2015643400,0.616035
pic_2015659391,0.999736
pic_2015689265,0.102317
pic_2015696082,0.987095
pic_2015729308,0.691012
pic_2015730222,0.922169
pic_2015731714,0.103195
pic_2015735915,0.828405
pic_2015742003,0.995990
pic_2015781045,0.743341
pic_2015815372,0.997908
pic_2015825757,0.984104
pic_2015845554,0.807323
pic_2015857874,0.985136
pic_2015861004,0.522618
pic_2015922870,0.870666
pic_2015922965,0.971634
pic_2015926276,0.988204
pic_2015926499,0.979109
pic_2015931624,0.998981
pic_2015943500,0.952525
