pic_id,pred
pic_2011145773,0.48141
pic_2011166734,0.999062
pic_2011186376,0.949589
pic_2011212927,0.998024
pic_2011235335,0.439932
pic_2011236069,0.959413
pic_2011247002,0.813637
pic_2011247901,0.117089
pic_2011251049,0.440685
pic_2011258837,0.82903
pic_2011259751,0.659192
pic_2011284149,0.78176
pic_2011316301,0.590609
pic_2011341615,0.995995
pic_2011352608,0.969433
pic_2011354519,0.997706
pic_2011356400,0.920512
pic_2011356916,0.996253
pic_2011367246,0.022738
pic_2011389441,0.002664
pic_2011399634,0.885287
pic_2011404228,0.081802
pic_2011414574,0.466518
pic_2011425797,0.926591
pic_2011428824,0.948181
pic_2011451614,0.178634
pic_2011490905,0.739782
pic_2011514792,0.593183
pic_2011522856,0.783063
pic_2011523481,0.954776
pic_2011548633,0.196708
pic_2011591580,0.986208
pic_2011624617,0.613763
pic_2011630482,0.824221
pic_2011652161,0.315468
pic_2011663815,0.991857
pic_2011679310,0.293643
pic_2011722359,0.797807
pic_2011723191,0.532524
pic_2011726745,0.680458
pic_2011731608,0.791119
pic_2011733890,0.960247
pic_2011737455,0.434375
pic_2011769372,0.786589
pic_2011778242,0.097948
pic_2011789805,0.798487
pic_2011791045,0.706884
pic_2011795767,0.375828
pic_2011807962,0.989053
pic_2011811024,0.947073
pic_2011819135,0.490149
pic_2011821180,0.981072
pic_2011823406,0.545623
pic_2011826386,0.250814
pic_2011831958,0.565816
pic_2011838645,0.09759
pic_2011874176,0.179916
pic_2011876236,0.979694
pic_2011878126,0.998892
pic_2011906676,0.089797
pic_2011906733,0.659364
pic_2011908944,0.512903
pic_2011932917,0.893642
pic_2011964210,0.931874
pic_2011976306,0.998187
pic_2011989733,0.040358
pic_2012005500,0.99144
pic_2012009670,0.884353
pic_2012036152,0.656406
pic_2012086214,0.942428
pic_2012091670,0.722363
pic_2012096776,0.340221
pic_2012118030,0.307662
pic_2012166695,0.909883
pic_2012192944,0.068112
pic_2012194456,0.322072
pic_2012209273,0.995811
pic_2012212638,0.953878
pic_2012244182,0.891048
pic_2012252996,0.272539
pic_2012261018,0.432713
pic_2012275680,0.577018
pic_2012296256,0.827611
pic_2012307073,0.559789
pic_2012310878,0.631962
pic_2012331000,0.962873
pic_2012395164,0.088868
pic_2012408948,0.692299
pic_2012418303,0.068554
pic_2012433286,0.905403
pic_2012463016,0.442256
pic_2012480917,0.527196
pic_2012496158,0.59621
pic_2012502256,0.992578
pic_2012503722,0.29992
pic_2012512050,0.993826
pic_2012539617,0.956907
pic_2012560161,0.969248
pic_2012581677,0.963664
pic_2012585303,0.127535
pic_2012628859,0.392658
pic_2012638736,0.851069
pic_2012676778,0.98527
pic_2012691027,0.636766
pic_2012707518,0.65558
pic_2012711229,0.681615
pic_2012716293,0.964691
pic_2012778223,0.508832
pic_2012784224,0.995664
pic_2012824788,0.481808
pic_2012831518,0.223893
pic_2012848652,0.99823
pic_2012848696,0.830568
pic_2012855240,0.966736
pic_2012862797,0.021273
pic_2012875740,0.979962
pic_2012890173,0.948059
pic_2012892473,0.619496
pic_2012919232,0.794409
pic_2012928649,0.480252
pic_2012937741,0.799227
pic_2012952717,0.130813
pic_2012988233,0.759342
pic_2012992470,0.017443
pic_2013012299,0.469619
pic_2013042072,0.405394
pic_2013043624,0.808388
pic_2013074685,0.98821
pic_2013083156,0.207808
pic_2013086370,0.259065
pic_2013102664,0.992055
pic_2013111933,0.96435
pic_2013148896,0.976592
pic_2013151460,0.688357
pic_2013204182,0.996146
pic_2013235352,0.670333
pic_2013244214,0.800533
pic_2013245805,0.100761
pic_2013262369,0.942085
pic_2013294225,0.29495
pic_2013296929,0.009821
pic_2013296958,0.997721
pic_2013324743,0.366903
pic_2013335134,0.839488
pic_2013339434,0.946356
pic_2013341266,0.191616
pic_2013341819,0.09979
pic_2013361219,0.099467
pic_2013411550,0.940676
pic_2013446749,0.96841
pic_2013475570,0.142273
pic_2013476155,0.510517
pic_2013547287,0.616038
pic_2013553108,0.992702
pic_2013556656,0.149424
pic_2013575487,0.952147
pic_2013581494,0.710499
pic_2013619498,0.103536
pic_2013623779,0.999706
pic_2013643175,0.850716
pic_2013652185,0.998535
pic_2013685829,0.837181
pic_2013715660,0.740726
pic_2013744742,0.965668
pic_2013760472,0.981714
pic_2013765655,0.622149
pic_2013771430,0.813326
pic_2013771446,0.943287
pic_2013796084,0.650046
pic_2013803483,0.985169
pic_2013813607,0.898689
pic_2013839209,0.947806
pic_2013881803,0.940074
pic_2013892829,0.040916
pic_2013905825,0.987693
pic_2013910531,0.898349
pic_2013913006,0.131083
pic_2013926914,0.538728
pic_2013939462,0.171054
pic_2013968362,0.671332
pic_2013976456,0.558863
pic_2013988901,0.819148
