pic_id,pred
pic_2011145773,0.230493
pic_2011166734,0.989469
pic_2011186376,0.312199
pic_2011212927,0.977813
pic_2011235335,0.927484
pic_2011236069,0.999600
pic_2011247002,0.337848
pic_2011247901,0.854312
pic_2011251049,0.673811
pic_2011258837,0.969003
pic_2011259751,0.070899
pic_2011284149,0.767256
pic_2011316301,0.466709
pic_2011341615,0.183504
pic_2011352608,0.354709
pic_2011354519,0.999039
pic_2011356400,0.994493
pic_2011356916,0.853591
pic_2011367246,0.019741
pic_2011389441,0.009001
pic_2011399634,0.982567
pic_2011404228,0.417218
pic_2011414574,0.201805
pic_2011425797,0.443939
pic_2011428824,0.341286
pic_2011451614,0.923518
pic_2011490905,0.992050
pic_2011514792,0.781989
pic_2011522856,0.876411
pic_2011523481,0.988563
pic_2011548633,0.021122
pic_2011591580,0.966886
pic_2011624617,0.134612
pic_2011630482,0.918611
pic_2011652161,0.391360
pic_2011663815,0.993571
pic_2011679310,0.767662
pic_2011722359,0.970244
pic_2011723191,0.968220
pic_2011726745,0.851210
pic_2011731608,0.997444
pic_2011733890,0.974977
pic_2011737455,0.650882
pic_2011769372,0.994290
pic_2011778242,0.012828
pic_2011789805,0.947754
pic_2011791045,0.741653
pic_2011795767,0.103444
pic_2011807962,0.647297
pic_2011811024,0.690187
pic_2011819135,0.181052
pic_2011821180,0.127057
pic_2011823406,0.522885
pic_2011826386,0.182363
pic_2011831958,0.618312
pic_2011838645,0.870164
pic_2011874176,0.201202
pic_2011876236,0.606751
pic_2011878126,0.969077
pic_2011906676,0.940636
pic_2011906733,0.006898
pic_2011908944,0.984177
pic_2011932917,0.253265
pic_2011964210,0.266324
pic_2011976306,0.992630
pic_2011989733,0.756574
pic_2012005500,0.957846
pic_2012009670,0.479967
pic_2012036152,0.376120
pic_2012086214,0.901468
pic_2012091670,0.032194
pic_2012096776,0.685900
pic_2012118030,0.267091
pic_2012166695,0.516361
pic_2012192944,0.941113
pic_2012194456,0.245019
pic_2012209273,0.977814
pic_2012212638,0.444003
pic_2012244182,0.295294
pic_2012252996,0.160076
pic_2012261018,0.297639
pic_2012275680,0.963739
pic_2012296256,0.896738
pic_2012307073,0.260004
pic_2012310878,0.867373
pic_2012331000,0.988949
pic_2012395164,0.465399
pic_2012408948,0.067614
pic_2012418303,0.008351
pic_2012433286,0.092507
pic_2012463016,0.812395
pic_2012480917,0.993943
pic_2012496158,0.654144
pic_2012502256,0.650136
pic_2012503722,0.843612
pic_2012512050,0.848009
pic_2012539617,0.975502
pic_2012560161,0.984436
pic_2012581677,0.390855
pic_2012585303,0.117022
pic_2012628859,0.954773
pic_2012638736,0.558275
pic_2012676778,0.986958
pic_2012691027,0.856028
pic_2012707518,0.941484
pic_2012711229,0.778744
pic_2012716293,0.948878
pic_2012778223,0.027185
pic_2012784224,0.934974
pic_2012824788,0.182707
pic_2012831518,0.071136
