pic_id,pred
pic_2011145773,0.147091
pic_2011166734,0.998374
pic_2011186376,0.507654
pic_2011212927,0.999482
pic_2011235335,0.433527
pic_2011236069,0.994184
pic_2011247002,0.017142
pic_2011247901,0.159713
pic_2011251049,0.80849
pic_2011258837,0.99218
pic_2011259751,0.075286
pic_2011284149,0.865223
pic_2011316301,0.291001
pic_2011341615,0.987328
pic_2011352608,0.195946
pic_2011354519,0.996842
pic_2011356400,0.810994
pic_2011356916,0.788839
pic_2011367246,0.001304
pic_2011389441,0.004305
pic_2011399634,0.989501
pic_2011404228,0.386757
pic_2011414574,0.508534
pic_2011425797,0.19682
pic_2011428824,0.81961
pic_2011451614,0.999057
pic_2011490905,0.961684
pic_2011514792,0.934755
pic_2011522856,0.970139
pic_2011523481,0.967622
pic_2011548633,0.185872
pic_2011591580,0.997071
pic_2011624617,0.219362
pic_2011630482,0.89939
pic_2011652161,0.222071
pic_2011663815,0.997726
pic_2011679310,0.656369
pic_2011722359,0.996653
pic_2011723191,0.992314
pic_2011726745,0.995546
pic_2011731608,0.998665
pic_2011733890,0.956243
pic_2011737455,0.929888
pic_2011769372,0.915383
pic_2011778242,0.001819
pic_2011789805,0.979258
pic_2011791045,0.681964
pic_2011795767,0.03789
pic_2011807962,0.979691
pic_2011811024,0.994284
pic_2011819135,0.186777
pic_2011821180,0.657473
pic_2011823406,0.585167
pic_2011826386,0.446668
pic_2011831958,0.984589
pic_2011838645,0.837443
pic_2011874176,0.086351
pic_2011876236,0.955482
pic_2011878126,0.999393
pic_2011906676,0.99725
pic_2011906733,0.002218
pic_2011908944,0.979516
pic_2011932917,0.917459
pic_2011964210,0.828319
pic_2011976306,0.99362
pic_2011989733,0.818376
pic_2012005500,0.856512
pic_2012009670,0.868508
pic_2012036152,0.734927
pic_2012086214,0.649916
pic_2012091670,0.077224
pic_2012096776,0.21006
pic_2012118030,0.858211
pic_2012166695,0.300662
pic_2012192944,0.912549
pic_2012194456,0.005739
pic_2012209273,0.999811
pic_2012212638,0.486048
pic_2012244182,0.258664
pic_2012252996,0.130691
pic_2012261018,0.740737
pic_2012275680,0.878774
pic_2012296256,0.959629
pic_2012307073,0.018676
pic_2012310878,0.968354
pic_2012331000,0.994454
pic_2012395164,0.646504
pic_2012408948,0.724385
pic_2012418303,0.016444
pic_2012433286,0.250191
pic_2012463016,0.872683
pic_2012480917,0.981946
pic_2012496158,0.988945
pic_2012502256,0.915201
pic_2012503722,0.409461
pic_2012512050,0.745873
pic_2012539617,0.995416
pic_2012560161,0.994922
pic_2012581677,0.898436
pic_2012585303,0.110002
pic_2012628859,0.924032
pic_2012638736,0.496238
pic_2012676778,0.987352
pic_2012691027,0.979189
pic_2012707518,0.994508
pic_2012711229,0.963037
pic_2012716293,0.989399
pic_2012778223,0.048971
pic_2012784224,0.966096
pic_2012824788,0.761134
pic_2012831518,0.030427
pic_2012848652,0.999244
pic_2012848696,0.994308
pic_2012855240,0.939256
pic_2012862797,0.005786
pic_2012875740,0.96316
pic_2012890173,0.999598
pic_2012892473,0.132358
pic_2012919232,0.277497
pic_2012928649,0.038253
pic_2012937741,0.677635
pic_2012952717,0.49281
pic_2012988233,0.979114
pic_2012992470,0.01983
pic_2013012299,0.51098
pic_2013042072,0.029706
pic_2013043624,0.975571
pic_2013074685,0.965562
pic_2013083156,0.464944
pic_2013086370,0.748448
pic_2013102664,0.968934
pic_2013111933,0.999344
pic_2013148896,0.994946
pic_2013151460,0.938588
pic_2013204182,0.965254
pic_2013235352,0.684411
pic_2013244214,0.985955
pic_2013245805,0.231882
pic_2013262369,0.895606
pic_2013294225,0.48778
pic_2013296929,0.114545
pic_2013296958,0.997143
pic_2013324743,0.081706
pic_2013335134,0.215358
pic_2013339434,0.587458
pic_2013341266,0.620558
pic_2013341819,0.395309
pic_2013361219,0.090536
pic_2013411550,0.255448
pic_2013446749,0.983987
pic_2013475570,0.856615
pic_2013476155,0.011058
pic_2013547287,0.928426
pic_2013553108,0.975003
pic_2013556656,0.736261
pic_2013575487,0.882895
pic_2013581494,0.168632
pic_2013619498,0.007024
pic_2013623779,0.999122
pic_2013643175,0.968954
pic_2013652185,0.999872
pic_2013685829,0.201403
pic_2013715660,0.672804
pic_2013744742,0.989151
pic_2013760472,0.980845
pic_2013765655,0.001653
pic_2013771430,0.875966
pic_2013771446,0.992036
pic_2013796084,0.95723
pic_2013803483,0.616191
pic_2013813607,0.016073
pic_2013839209,0.944496
pic_2013881803,0.966031
pic_2013892829,0.209895
pic_2013905825,0.979786
pic_2013910531,0.954507
pic_2013913006,0.028441
pic_2013926914,0.906416
