pic_id,pred
pic_2011145773,0.440597
pic_2011166734,0.941322
pic_2011186376,0.274437
pic_2011212927,0.955157
pic_2011235335,0.311332
pic_2011236069,0.938817
pic_2011247002,0.185900
pic_2011247901,0.240481
pic_2011251049,0.093124
pic_2011258837,0.750728
pic_2011259751,0.080519
pic_2011284149,0.693765
pic_2011316301,0.125655
pic_2011341615,0.890381
pic_2011352608,0.201804
pic_2011354519,0.778912
pic_2011356400,0.449882
pic_2011356916,0.832601
pic_2011367246,0.019637
pic_2011389441,0.007716
pic_2011399634,0.688063
pic_2011404228,0.441006
pic_2011414574,0.275910
pic_2011425797,0.536111
pic_2011428824,0.571166
pic_2011451614,0.913778
pic_2011490905,0.818411
pic_2011514792,0.639840
pic_2011522856,0.831729
pic_2011523481,0.811580
pic_2011548633,0.378289
pic_2011591580,0.960930
pic_2011624617,0.168478
pic_2011630482,0.382011
pic_2011652161,0.615582
pic_2011663815,0.784667
pic_2011679310,0.148843
pic_2011722359,0.818867
pic_2011723191,0.923926
pic_2011726745,0.971521
pic_2011731608,0.867607
pic_2011733890,0.746877
pic_2011737455,0.628608
pic_2011769372,0.737001
pic_2011778242,0.022575
pic_2011789805,0.916676
pic_2011791045,0.580440
pic_2011795767,0.046782
pic_2011807962,0.852991
pic_2011811024,0.913573
pic_2011819135,0.045114
pic_2011821180,0.602243
pic_2011823406,0.399406
pic_2011826386,0.540301
pic_2011831958,0.903142
pic_2011838645,0.554508
pic_2011874176,0.176296
pic_2011876236,0.839040
pic_2011878126,0.819889
pic_2011906676,0.866750
pic_2011906733,0.017919
pic_2011908944,0.686908
pic_2011932917,0.788647
pic_2011964210,0.717078
pic_2011976306,0.663528
pic_2011989733,0.211500
pic_2012005500,0.759249
pic_2012009670,0.607733
pic_2012036152,0.539951
pic_2012086214,0.606989
pic_2012091670,0.291483
pic_2012096776,0.157422
pic_2012118030,0.705166
pic_2012166695,0.408723
pic_2012192944,0.202032
pic_2012194456,0.045637
pic_2012209273,0.967236
pic_2012212638,0.171393
pic_2012244182,0.381128
pic_2012252996,0.043922
pic_2012261018,0.212518
pic_2012275680,0.574774
pic_2012296256,0.436108
pic_2012307073,0.011776
pic_2012310878,0.562252
pic_2012331000,0.977413
pic_2012395164,0.098373
pic_2012408948,0.392014
pic_2012418303,0.045025
pic_2012433286,0.173705
pic_2012463016,0.668946
pic_2012480917,0.936371
pic_2012496158,0.865538
pic_2012502256,0.524277
pic_2012503722,0.160403
pic_2012512050,0.177248
pic_2012539617,0.810199
pic_2012560161,0.884591
pic_2012581677,0.739048
pic_2012585303,0.160003
pic_2012628859,0.476155
pic_2012638736,0.148668
pic_2012676778,0.839540
pic_2012691027,0.739887
pic_2012707518,0.829202
pic_2012711229,0.845644
pic_2012716293,0.887828
pic_2012778223,0.171363
pic_2012784224,0.844112
pic_2012824788,0.454194
pic_2012831518,0.357564
pic_2012848652,0.974573
pic_2012848696,0.963799
pic_2012855240,0.908168
pic_2012862797,0.016355
pic_2012875740,0.540363
pic_2012890173,0.991782
pic_2012892473,0.177339
pic_2012919232,0.343440
pic_2012928649,0.053858
pic_2012937741,0.717038
pic_2012952717,0.706566
pic_2012988233,0.652452
pic_2012992470,0.034095
pic_2013012299,0.553174
pic_2013042072,0.289322
pic_2013043624,0.686560
pic_2013074685,0.753923
pic_2013083156,0.461185
pic_2013086370,0.445164
pic_2013102664,0.923736
pic_2013111933,0.910907
pic_2013148896,0.944821
pic_2013151460,0.274931
pic_2013204182,0.563285
pic_2013235352,0.315672
pic_2013244214,0.346759
pic_2013245805,0.270220
pic_2013262369,0.803460
pic_2013294225,0.181408
pic_2013296929,0.100019
pic_2013296958,0.868497
pic_2013324743,0.142584
pic_2013335134,0.042590
pic_2013339434,0.151552
pic_2013341266,0.683613
pic_2013341819,0.462000
pic_2013361219,0.398844
pic_2013411550,0.315135
pic_2013446749,0.894937
pic_2013475570,0.606244
pic_2013476155,0.342286
pic_2013547287,0.834190
pic_2013553108,0.697509
pic_2013556656,0.721795
pic_2013575487,0.817323
pic_2013581494,0.298411
pic_2013619498,0.033844
pic_2013623779,0.901903
pic_2013643175,0.302903
pic_2013652185,0.973714
pic_2013685829,0.100133
pic_2013715660,0.778437
pic_2013744742,0.820414
pic_2013760472,0.498962
pic_2013765655,0.030641
pic_2013771430,0.462328
pic_2013771446,0.626571
pic_2013796084,0.598869
pic_2013803483,0.440807
