pic_id,pred
pic_2011145773,0.733998
pic_2011166734,0.96743
pic_2011186376,0.275156
pic_2011212927,0.964297
pic_2011235335,0.406074
pic_2011236069,0.931272
pic_2011247002,0.233676
pic_2011247901,0.300595
pic_2011251049,0.144202
pic_2011258837,0.876624
pic_2011259751,0.073186
pic_2011284149,0.694968
pic_2011316301,0.073162
pic_2011341615,0.854267
pic_2011352608,0.220914
pic_2011354519,0.821501
pic_2011356400,0.406148
pic_2011356916,0.889696
pic_2011367246,0.03011
pic_2011389441,0.009864
pic_2011399634,0.74115
pic_2011404228,0.686593
pic_2011414574,0.32467
pic_2011425797,0.655865
pic_2011428824,0.64848
pic_2011451614,0.904119
pic_2011490905,0.856233
pic_2011514792,0.676025
pic_2011522856,0.759187
pic_2011523481,0.810407
pic_2011548633,0.365496
pic_2011591580,0.9669
pic_2011624617,0.244545
pic_2011630482,0.48474
pic_2011652161,0.715169
pic_2011663815,0.872569
pic_2011679310,0.168415
pic_2011722359,0.903073
pic_2011723191,0.938049
pic_2011726745,0.957759
pic_2011731608,0.855058
pic_2011733890,0.77533
pic_2011737455,0.669087
pic_2011769372,0.763564
pic_2011778242,0.037775
pic_2011789805,0.864218
pic_2011791045,0.693817
pic_2011795767,0.053322
pic_2011807962,0.910679
pic_2011811024,0.921502
pic_2011819135,0.086635
pic_2011821180,0.575395
pic_2011823406,0.345003
pic_2011826386,0.447187
pic_2011831958,0.931683
pic_2011838645,0.615856
pic_2011874176,0.209783
pic_2011876236,0.87424
pic_2011878126,0.797753
pic_2011906676,0.934112
pic_2011906733,0.019951
pic_2011908944,0.678359
pic_2011932917,0.851398
pic_2011964210,0.708618
pic_2011976306,0.822953
pic_2011989733,0.279907
pic_2012005500,0.748269
pic_2012009670,0.64972
pic_2012036152,0.466016
pic_2012086214,0.691339
pic_2012091670,0.230131
pic_2012096776,0.244515
pic_2012118030,0.730609
pic_2012166695,0.403087
pic_2012192944,0.217864
pic_2012194456,0.138826
pic_2012209273,0.97167
pic_2012212638,0.29737
pic_2012244182,0.417499
pic_2012252996,0.095473
pic_2012261018,0.341806
pic_2012275680,0.630896
pic_2012296256,0.527881
pic_2012307073,0.020034
pic_2012310878,0.537514
pic_2012331000,0.975212
pic_2012395164,0.118716
pic_2012408948,0.458074
pic_2012418303,0.048146
pic_2012433286,0.204934
pic_2012463016,0.672919
pic_2012480917,0.932757
pic_2012496158,0.883256
pic_2012502256,0.636839
pic_2012503722,0.21135
pic_2012512050,0.251592
pic_2012539617,0.871996
pic_2012560161,0.915706
pic_2012581677,0.774357
pic_2012585303,0.240848
pic_2012628859,0.452086
pic_2012638736,0.174033
pic_2012676778,0.880302
pic_2012691027,0.828669
pic_2012707518,0.815112
pic_2012711229,0.863475
pic_2012716293,0.899224
pic_2012778223,0.216463
pic_2012784224,0.857751
pic_2012824788,0.60938
pic_2012831518,0.34943
pic_2012848652,0.978626
pic_2012848696,0.984213
pic_2012855240,0.934236
pic_2012862797,0.018417
pic_2012875740,0.552713
pic_2012890173,0.987965
pic_2012892473,0.239144
pic_2012919232,0.401486
pic_2012928649,0.054481
pic_2012937741,0.773559
pic_2012952717,0.659748
pic_2012988233,0.607499
pic_2012992470,0.08126
pic_2013012299,0.549379
pic_2013042072,0.299676
pic_2013043624,0.755165
pic_2013074685,0.795995
pic_2013083156,0.476447
pic_2013086370,0.560059
pic_2013102664,0.948846
pic_2013111933,0.92917
pic_2013148896,0.947815
pic_2013151460,0.308351
pic_2013204182,0.580483
pic_2013235352,0.381631
pic_2013244214,0.251625
pic_2013245805,0.26936
pic_2013262369,0.866575
pic_2013294225,0.136845
pic_2013296929,0.189677
pic_2013296958,0.91846
pic_2013324743,0.209073
pic_2013335134,0.027296
pic_2013339434,0.223582
pic_2013341266,0.827212
pic_2013341819,0.553143
pic_2013361219,0.404027
pic_2013411550,0.274593
pic_2013446749,0.955597
pic_2013475570,0.713607
pic_2013476155,0.427864
pic_2013547287,0.865664
pic_2013553108,0.801168
pic_2013556656,0.811389
pic_2013575487,0.861561
pic_2013581494,0.262225
pic_2013619498,0.043645
pic_2013623779,0.918113
pic_2013643175,0.288022
pic_2013652185,0.986489
pic_2013685829,0.160024
pic_2013715660,0.785594
pic_2013744742,0.84443
pic_2013760472,0.69923
pic_2013765655,0.042818
pic_2013771430,0.507679
pic_2013771446,0.807249
pic_2013796084,0.654439
pic_2013803483,0.551079
pic_2013813607,0.04374
pic_2013839209,0.723757
pic_2013881803,0.553474
pic_2013892829,0.292196
pic_2013905825,0.62948
pic_2013910531,0.965856
pic_2013913006,0.046512
pic_2013926914,0.779769
pic_2013939462,0.113499
pic_2013968362,0.48057
pic_2013976456,0.852133
pic_2013988901,0.577042
pic_2014035150,0.964851
pic_2014061184,0.003368
pic_2014077763,0.900084
pic_2014086656,0.298118
pic_2014088945,0.756863
pic_2014096201,0.366899
pic_2014110584,0.961024
pic_2014158951,0.951736
pic_2014174067,0.539469
pic_2014177567,0.296755
pic_2014189542,0.692826
pic_2014217913,0.938192
pic_2014245276,0.837242
pic_2014245575,0.671329
pic_2014251977,0.905519
pic_2014264294,0.948247
pic_2014267815,0.981095
pic_2014271495,0.496366
pic_2014282719,0.980575
pic_2014332898,0.934745
pic_2014334750,0.78466
pic_2014335105,0.217314
pic_2014346074,0.810916
pic_2014355299,0.057908
pic_2014360333,0.043014
pic_2014380194,0.325676
pic_2014396805,0.867613
pic_2014398165,0.52465
pic_2014419772,0.964111
pic_2014472693,0.485131
pic_2014474516,0.856873
pic_2014479055,0.148125
pic_2014480161,0.654221
pic_2014514551,0.433362
pic_2014524690,0.657186
pic_2014526675,0.495592
pic_2014527909,0.740808
pic_2014546026,0.481465
pic_2014601256,0.960305
pic_2014645696,0.71483
pic_2014659766,0.96752
pic_2014667281,0.975845
pic_2014702424,0.848947
pic_2014707914,0.725941
pic_2014720852,0.724923
pic_2014723554,0.90107
pic_2014723684,0.364496
pic_2014745884,0.151468
pic_2014766408,0.703253
pic_2014776398,0.883698
pic_2014810478,0.820539
pic_2014811997,0.341381
pic_2014831235,0.474375
pic_2014862843,0.407518
pic_2014879589,0.066154
pic_2014899753,0.921012
pic_2014901704,0.2975
pic_2014936269,0.462943
pic_2014936405,0.868171
pic_2014941928,0.023158
pic_2014998269,0.426654
pic_2015000816,0.590634
pic_2015019704,0.906344
pic_2015051061,0.481705
pic_2015053162,0.975045
pic_2015059393,0.159763
pic_2015064119,0.669555
pic_2015089359,0.754011
pic_2015120766,0.516939
pic_2015122325,0.829305
pic_2015143006,0.717602
pic_2015167436,0.263687
pic_2015169779,0.160104
pic_2015172112,0.518945
pic_2015175227,0.914751
pic_2015176000,0.257643
pic_2015189565,0.485196
pic_2015191600,0.803612
pic_2015192134,0.842504
pic_2015212761,0.040964
pic_2015230819,0.074445
pic_2015244138,0.774071
pic_2015251328,0.185019
pic_2015286276,0.068528
pic_2015301079,0.928069
pic_2015319229,0.299002
pic_2015323165,0.434044
pic_2015354275,0.967163
pic_2015385127,0.892742
pic_2015428589,0.922449
pic_2015447616,0.941651
pic_2015458049,0.917243
pic_2015467374,0.986894
pic_2015503965,0.974435
pic_2015506184,0.848698
pic_2015532365,0.816871
pic_2015564858,0.091182
pic_2015589571,0.668266
