pic_id,pred
pic_2011145773,0.60105
pic_2011166734,0.601404
pic_2011186376,0.395044
pic_2011212927,0.766496
pic_2011235335,0.70608
pic_2011236069,0.696409
pic_2011247002,0.366478
pic_2011247901,0.231774
pic_2011251049,0.716617
pic_2011258837,0.816476
pic_2011259751,0.081042
pic_2011284149,0.345875
pic_2011316301,0.114028
pic_2011341615,0.372277
pic_2011352608,0.086056
pic_2011354519,0.898907
pic_2011356400,0.344713
pic_2011356916,0.226651
pic_2011367246,0.032358
pic_2011389441,0.076595
pic_2011399634,0.748927
pic_2011404228,0.023897
pic_2011414574,0.190249
pic_2011425797,0.7847
pic_2011428824,0.828587
pic_2011451614,0.675089
pic_2011490905,0.879148
pic_2011514792,0.591924
pic_2011522856,0.45358
pic_2011523481,0.744059
pic_2011548633,0.536396
pic_2011591580,0.479798
pic_2011624617,0.003507
pic_2011630482,0.514557
pic_2011652161,0.245373
pic_2011663815,0.928393
pic_2011679310,0.445089
pic_2011722359,0.84898
pic_2011723191,0.480163
pic_2011726745,0.775853
pic_2011731608,0.524927
pic_2011733890,0.455018
pic_2011737455,0.94988
pic_2011769372,0.704602
pic_2011778242,0.024575
pic_2011789805,0.72628
pic_2011791045,0.818021
pic_2011795767,0.006928
pic_2011807962,0.925753
pic_2011811024,0.348583
pic_2011819135,0.609114
pic_2011821180,0.62935
pic_2011823406,0.452406
pic_2011826386,0.449799
pic_2011831958,0.642277
pic_2011838645,0.396874
pic_2011874176,0.029103
pic_2011876236,0.530999
pic_2011878126,0.600671
pic_2011906676,0.593871
pic_2011906733,0.032998
pic_2011908944,0.836524
pic_2011932917,0.557925
pic_2011964210,0.066766
pic_2011976306,0.511926
pic_2011989733,0.729179
pic_2012005500,0.957494
pic_2012009670,0.689246
pic_2012036152,0.599162
pic_2012086214,0.553989
pic_2012091670,0.032583
pic_2012096776,0.484312
pic_2012118030,0.263775
pic_2012166695,0.008172
pic_2012192944,0.809916
pic_2012194456,0.020215
pic_2012209273,0.684165
pic_2012212638,0.160915
pic_2012244182,0.421162
pic_2012252996,0.601009
pic_2012261018,0.098564
pic_2012275680,0.730005
pic_2012296256,0.649362
pic_2012307073,0.339635
pic_2012310878,0.365726
pic_2012331000,0.948034
pic_2012395164,0.499455
pic_2012408948,0.68534
pic_2012418303,0.452823
pic_2012433286,0.515633
pic_2012463016,0.615727
pic_2012480917,0.899157
pic_2012496158,0.39762
pic_2012502256,0.80176
pic_2012503722,0.334141
pic_2012512050,0.414473
pic_2012539617,0.632034
pic_2012560161,0.762793
pic_2012581677,0.765725
pic_2012585303,0.012791
pic_2012628859,0.155011
pic_2012638736,0.471787
pic_2012676778,0.482247
pic_2012691027,0.814746
pic_2012707518,0.421072
pic_2012711229,0.862318
pic_2012716293,0.664792
pic_2012778223,0.077809
pic_2012784224,0.757955
pic_2012824788,0.041363
pic_2012831518,0.008017
pic_2012848652,0.827218
pic_2012848696,0.425382
