pic_id,pred
pic_2011145773,0.155563
pic_2011166734,0.975579
pic_2011186376,0.066558
pic_2011212927,0.998856
pic_2011235335,0.361769
pic_2011236069,0.947879
pic_2011247002,0.349033
pic_2011247901,0.471277
pic_2011251049,0.601835
pic_2011258837,0.867764
pic_2011259751,0.285544
pic_2011284149,0.905018
pic_2011316301,0.220657
pic_2011341615,0.976585
pic_2011352608,0.284492
pic_2011354519,0.933197
pic_2011356400,0.618140
pic_2011356916,0.901891
pic_2011367246,0.003570
pic_2011389441,0.024455
pic_2011399634,0.953422
pic_2011404228,0.062025
pic_2011414574,0.761643
pic_2011425797,0.818895
pic_2011428824,0.967833
pic_2011451614,0.984471
pic_2011490905,0.913736
pic_2011514792,0.921606
pic_2011522856,0.249927
pic_2011523481,0.770718
pic_2011548633,0.134133
pic_2011591580,0.922486
pic_2011624617,0.095511
pic_2011630482,0.815904
pic_2011652161,0.402644
pic_2011663815,0.994699
pic_2011679310,0.592436
pic_2011722359,0.961604
pic_2011723191,0.967726
pic_2011726745,0.994583
pic_2011731608,0.895150
pic_2011733890,0.887905
pic_2011737455,0.839640
pic_2011769372,0.992816
pic_2011778242,0.023914
pic_2011789805,0.856791
pic_2011791045,0.743220
pic_2011795767,0.196855
pic_2011807962,0.991824
pic_2011811024,0.973811
pic_2011819135,0.160306
pic_2011821180,0.741515
pic_2011823406,0.579829
pic_2011826386,0.362562
pic_2011831958,0.876972
pic_2011838645,0.227670
pic_2011874176,0.106862
pic_2011876236,0.919478
pic_2011878126,0.997630
pic_2011906676,0.965618
pic_2011906733,0.178620
pic_2011908944,0.870756
pic_2011932917,0.508472
pic_2011964210,0.900200
pic_2011976306,0.934604
pic_2011989733,0.506386
pic_2012005500,0.279847
pic_2012009670,0.575243
pic_2012036152,0.786533
pic_2012086214,0.678607
pic_2012091670,0.320991
pic_2012096776,0.219352
pic_2012118030,0.468076
pic_2012166695,0.667224
pic_2012192944,0.955197
pic_2012194456,0.042197
pic_2012209273,0.994887
pic_2012212638,0.469328
pic_2012244182,0.115977
pic_2012252996,0.769141
pic_2012261018,0.074096
pic_2012275680,0.414749
pic_2012296256,0.756512
pic_2012307073,0.094218
pic_2012310878,0.355407
pic_2012331000,0.871427
pic_2012395164,0.557353
pic_2012408948,0.866088
pic_2012418303,0.045319
pic_2012433286,0.229687
pic_2012463016,0.450997
pic_2012480917,0.805822
pic_2012496158,0.735144
pic_2012502256,0.941110
pic_2012503722,0.936539
pic_2012512050,0.751640
pic_2012539617,0.947813
pic_2012560161,0.959444
pic_2012581677,0.491040
pic_2012585303,0.067816
pic_2012628859,0.859097
pic_2012638736,0.795681
pic_2012676778,0.949789
pic_2012691027,0.874091
pic_2012707518,0.835759
pic_2012711229,0.867652
pic_2012716293,0.671906
pic_2012778223,0.527277
pic_2012784224,0.885716
pic_2012824788,0.398021
pic_2012831518,0.021108
pic_2012848652,0.997454
pic_2012848696,0.914756
pic_2012855240,0.984496
pic_2012862797,0.022702
pic_2012875740,0.960908
pic_2012890173,0.954091
pic_2012892473,0.361495
pic_2012919232,0.391429
pic_2012928649,0.473071
pic_2012937741,0.262810
pic_2012952717,0.228235
pic_2012988233,0.558005
pic_2012992470,0.668025
pic_2013012299,0.924367
pic_2013042072,0.744226
pic_2013043624,0.455464
pic_2013074685,0.923389
pic_2013083156,0.775689
pic_2013086370,0.096637
pic_2013102664,0.957206
pic_2013111933,0.733711
pic_2013148896,0.961568
pic_2013151460,0.634308
pic_2013204182,0.863228
pic_2013235352,0.516892
pic_2013244214,0.603490
pic_2013245805,0.414573
pic_2013262369,0.243588
pic_2013294225,0.536016
pic_2013296929,0.250286
pic_2013296958,0.957055
pic_2013324743,0.274658
pic_2013335134,0.326278
pic_2013339434,0.297380
pic_2013341266,0.823371
pic_2013341819,0.411528
pic_2013361219,0.004462
pic_2013411550,0.433187
pic_2013446749,0.829895
pic_2013475570,0.673624
pic_2013476155,0.242079
pic_2013547287,0.625658
pic_2013553108,0.988002
pic_2013556656,0.286494
pic_2013575487,0.712732
pic_2013581494,0.402595
pic_2013619498,0.017565
pic_2013623779,0.988371
pic_2013643175,0.865712
pic_2013652185,0.997569
pic_2013685829,0.172187
pic_2013715660,0.991565
pic_2013744742,0.800931
pic_2013760472,0.505593
pic_2013765655,0.185052
pic_2013771430,0.861558
pic_2013771446,0.254745
pic_2013796084,0.694724
pic_2013803483,0.581190
pic_2013813607,0.123840
pic_2013839209,0.816660
pic_2013881803,0.974533
pic_2013892829,0.168831
pic_2013905825,0.994501
pic_2013910531,0.917434
pic_2013913006,0.048424
pic_2013926914,0.898563
pic_2013939462,0.138964
pic_2013968362,0.664988
pic_2013976456,0.859153
pic_2013988901,0.040100
pic_2014035150,0.993232
pic_2014061184,0.012681
pic_2014077763,0.980966
pic_2014086656,0.455226
pic_2014088945,0.987108
pic_2014096201,0.691938
pic_2014110584,0.995600
pic_2014158951,0.975827
pic_2014174067,0.300819
pic_2014177567,0.005410
pic_2014189542,0.908545
pic_2014217913,0.992869
pic_2014245276,0.826836
pic_2014245575,0.459578
pic_2014251977,0.922408
pic_2014264294,0.794010
pic_2014267815,0.996019
pic_2014271495,0.889600
pic_2014282719,0.958777
pic_2014332898,0.941387
pic_2014334750,0.437315
pic_2014335105,0.819010
pic_2014346074,0.990679
pic_2014355299,0.010251
pic_2014360333,0.131974
pic_2014380194,0.637931
pic_2014396805,0.978336
pic_2014398165,0.749582
pic_2014419772,0.861688
pic_2014472693,0.987334
pic_2014474516,0.505307
pic_2014479055,0.013410
pic_2014480161,0.915480
pic_2014514551,0.908953
pic_2014524690,0.895485
pic_2014526675,0.343550
pic_2014527909,0.962580
pic_2014546026,0.403183
pic_2014601256,0.928306
pic_2014645696,0.849104
pic_2014659766,0.927339
pic_2014667281,0.978925
pic_2014702424,0.912211
pic_2014707914,0.980515
pic_2014720852,0.870402
pic_2014723554,0.988757
pic_2014723684,0.297901
pic_2014745884,0.137200
pic_2014766408,0.968962
pic_2014776398,0.781963
pic_2014810478,0.192051
pic_2014811997,0.541320
pic_2014831235,0.821770
pic_2014862843,0.660839
pic_2014879589,0.220739
pic_2014899753,0.965978
pic_2014901704,0.675590
pic_2014936269,0.659221
pic_2014936405,0.906614
pic_2014941928,0.021902
pic_2014998269,0.837615
pic_2015000816,0.547394
pic_2015019704,0.897795
pic_2015051061,0.469380
pic_2015053162,0.994696
pic_2015059393,0.697550
pic_2015064119,0.909625
pic_2015089359,0.801702
pic_2015120766,0.642043
pic_2015122325,0.975238
