pic_id,pred
pic_2011145773,0.045245
pic_2011166734,0.972338
pic_2011186376,0.002893
pic_2011212927,0.966523
pic_2011235335,0.350312
pic_2011236069,0.816178
pic_2011247002,0.021151
pic_2011247901,0.085055
pic_2011251049,0.080111
pic_2011258837,0.698848
pic_2011259751,0.008721
pic_2011284149,0.204635
pic_2011316301,0.003404
pic_2011341615,0.498002
pic_2011352608,0.002875
pic_2011354519,0.856153
pic_2011356400,0.077972
pic_2011356916,0.813717
pic_2011367246,0.000166
pic_2011389441,0.001159
pic_2011399634,0.857217
pic_2011404228,0.065078
pic_2011414574,0.0095
pic_2011425797,0.084339
pic_2011428824,0.584417
pic_2011451614,0.794444
pic_2011490905,0.198952
pic_2011514792,0.41751
pic_2011522856,0.089052
pic_2011523481,0.117979
pic_2011548633,0.00996
pic_2011591580,0.733003
pic_2011624617,0.020086
pic_2011630482,0.068148
pic_2011652161,0.155717
pic_2011663815,0.946143
pic_2011679310,0.016083
pic_2011722359,0.905612
pic_2011723191,0.461623
pic_2011726745,0.973021
pic_2011731608,0.793858
pic_2011733890,0.573457
pic_2011737455,0.104981
pic_2011769372,0.234264
pic_2011778242,0.001386
pic_2011789805,0.233827
pic_2011791045,0.255003
pic_2011795767,0.002038
pic_2011807962,0.922728
pic_2011811024,0.944581
pic_2011819135,0.011625
pic_2011821180,0.018746
pic_2011823406,0.171096
pic_2011826386,0.008771
pic_2011831958,0.25383
pic_2011838645,0.195424
pic_2011874176,0.023738
pic_2011876236,0.553035
pic_2011878126,0.909462
pic_2011906676,0.880467
pic_2011906733,0.000375
pic_2011908944,0.15005
pic_2011932917,0.329894
pic_2011964210,0.07946
pic_2011976306,0.495357
pic_2011989733,0.011859
pic_2012005500,0.686444
pic_2012009670,0.046254
pic_2012036152,0.055928
pic_2012086214,0.18139
pic_2012091670,0.003379
pic_2012096776,0.435668
pic_2012118030,0.03109
pic_2012166695,0.001798
pic_2012192944,0.076853
pic_2012194456,0.004202
pic_2012209273,0.98268
pic_2012212638,0.078147
pic_2012244182,0.01016
pic_2012252996,0.163224
pic_2012261018,0.05255
pic_2012275680,0.015208
pic_2012296256,0.35847
pic_2012307073,0.002496
pic_2012310878,0.553283
pic_2012331000,0.548369
pic_2012395164,0.369905
pic_2012408948,0.094086
pic_2012418303,0.000674
pic_2012433286,0.006428
pic_2012463016,0.209942
pic_2012480917,0.958765
pic_2012496158,0.05847
pic_2012502256,0.034597
pic_2012503722,0.086723
pic_2012512050,0.121105
pic_2012539617,0.567684
pic_2012560161,0.721194
pic_2012581677,0.143742
pic_2012585303,0.087414
pic_2012628859,0.022799
pic_2012638736,0.004429
pic_2012676778,0.766384
pic_2012691027,0.703537
pic_2012707518,0.706419
pic_2012711229,0.862537
pic_2012716293,0.05841
pic_2012778223,0.007731
pic_2012784224,0.950611
pic_2012824788,0.037576
pic_2012831518,0.000651
pic_2012848652,0.98432
pic_2012848696,0.914673
pic_2012855240,0.709559
pic_2012862797,0.00331
pic_2012875740,0.05718
pic_2012890173,0.953615
pic_2012892473,0.002734
pic_2012919232,0.047516
pic_2012928649,0.002178
pic_2012937741,0.027967
pic_2012952717,0.006054
pic_2012988233,0.4242
pic_2012992470,0.001966
pic_2013012299,0.010837
pic_2013042072,0.014858
pic_2013043624,0.429802
pic_2013074685,0.635457
pic_2013083156,0.012523
pic_2013086370,0.185472
pic_2013102664,0.270202
pic_2013111933,0.933769
pic_2013148896,0.262845
pic_2013151460,0.241922
pic_2013204182,0.476285
pic_2013235352,0.044266
pic_2013244214,0.028597
pic_2013245805,0.230784
pic_2013262369,0.077591
pic_2013294225,0.015433
pic_2013296929,0.180468
pic_2013296958,0.715845
pic_2013324743,0.012275
pic_2013335134,0.003793
pic_2013339434,0.125606
pic_2013341266,0.203033
pic_2013341819,0.166811
pic_2013361219,0.010471
pic_2013411550,0.050734
pic_2013446749,0.100225
pic_2013475570,0.238839
pic_2013476155,0.000373
pic_2013547287,0.282466
pic_2013553108,0.833278
pic_2013556656,0.093093
pic_2013575487,0.295863
pic_2013581494,0.00882
pic_2013619498,0.000076
pic_2013623779,0.995377
pic_2013643175,0.468046
pic_2013652185,0.997112
pic_2013685829,0.003457
pic_2013715660,0.595298
pic_2013744742,0.911787
pic_2013760472,0.856086
pic_2013765655,0.000755
pic_2013771430,0.078904
pic_2013771446,0.11685
pic_2013796084,0.49943
pic_2013803483,0.155651
pic_2013813607,0.00114
pic_2013839209,0.083508
pic_2013881803,0.042941
pic_2013892829,0.079795
pic_2013905825,0.42918
pic_2013910531,0.441772
pic_2013913006,0.004524
pic_2013926914,0.13852
