pic_id,pred
pic_2011145773,0.580362
pic_2011166734,0.974058
pic_2011186376,0.455568
pic_2011212927,0.999535
pic_2011235335,0.557198
pic_2011236069,0.970671
pic_2011247002,0.509117
pic_2011247901,0.534441
pic_2011251049,0.655052
pic_2011258837,0.861716
pic_2011259751,0.561952
pic_2011284149,0.280180
pic_2011316301,0.226044
pic_2011341615,0.993399
pic_2011352608,0.024996
pic_2011354519,0.766513
pic_2011356400,0.461486
pic_2011356916,0.961190
pic_2011367246,0.238470
pic_2011389441,0.004209
pic_2011399634,0.806801
pic_2011404228,0.425176
pic_2011414574,0.331160
pic_2011425797,0.814074
pic_2011428824,0.990635
pic_2011451614,0.937248
pic_2011490905,0.735209
pic_2011514792,0.971908
pic_2011522856,0.624821
pic_2011523481,0.965912
pic_2011548633,0.557198
pic_2011591580,0.990533
pic_2011624617,0.180926
pic_2011630482,0.395351
pic_2011652161,0.860005
pic_2011663815,0.999029
pic_2011679310,0.126779
pic_2011722359,0.988724
pic_2011723191,0.937313
pic_2011726745,0.975243
pic_2011731608,0.993889
pic_2011733890,0.631920
pic_2011737455,0.917386
pic_2011769372,0.884303
pic_2011778242,0.203683
pic_2011789805,0.983917
pic_2011791045,0.660614
pic_2011795767,0.051985
pic_2011807962,0.998763
pic_2011811024,0.944460
pic_2011819135,0.314887
pic_2011821180,0.806052
pic_2011823406,0.055890
pic_2011826386,0.506450
pic_2011831958,0.952598
pic_2011838645,0.780841
pic_2011874176,0.116325
pic_2011876236,0.998191
pic_2011878126,0.894667
pic_2011906676,0.743484
pic_2011906733,0.000168
pic_2011908944,0.649111
pic_2011932917,0.950417
pic_2011964210,0.327035
pic_2011976306,0.997931
pic_2011989733,0.602668
pic_2012005500,0.964203
pic_2012009670,0.745541
pic_2012036152,0.557198
pic_2012086214,0.795378
pic_2012091670,0.016331
pic_2012096776,0.684337
pic_2012118030,0.872957
pic_2012166695,0.933336
pic_2012192944,0.894559
pic_2012194456,0.011375
pic_2012209273,0.997711
pic_2012212638,0.524149
pic_2012244182,0.849324
pic_2012252996,0.912671
pic_2012261018,0.699174
pic_2012275680,0.478026
pic_2012296256,0.940181
pic_2012307073,0.116102
pic_2012310878,0.946297
pic_2012331000,0.996298
pic_2012395164,0.561147
pic_2012408948,0.727545
pic_2012418303,0.391782
pic_2012433286,0.444184
pic_2012463016,0.695553
pic_2012480917,0.984083
pic_2012496158,0.926585
pic_2012502256,0.937365
pic_2012503722,0.336524
pic_2012512050,0.838625
pic_2012539617,0.915951
pic_2012560161,0.956365
pic_2012581677,0.670205
pic_2012585303,0.833230
pic_2012628859,0.558180
pic_2012638736,0.535275
pic_2012676778,0.942962
pic_2012691027,0.986471
pic_2012707518,0.995441
pic_2012711229,0.720945
pic_2012716293,0.682618
pic_2012778223,0.400570
pic_2012784224,0.949037
pic_2012824788,0.531770
pic_2012831518,0.028803
pic_2012848652,0.997598
pic_2012848696,0.984040
pic_2012855240,0.666554
pic_2012862797,0.000240
pic_2012875740,0.653214
pic_2012890173,0.997637
pic_2012892473,0.735786
pic_2012919232,0.613508
pic_2012928649,0.147762
pic_2012937741,0.984622
pic_2012952717,0.512850
pic_2012988233,0.992510
pic_2012992470,0.007501
pic_2013012299,0.557198
pic_2013042072,0.496784
pic_2013043624,0.857993
pic_2013074685,0.996607
pic_2013083156,0.129522
pic_2013086370,0.713002
pic_2013102664,0.874804
pic_2013111933,0.982303
pic_2013148896,0.966522
pic_2013151460,0.944198
pic_2013204182,0.617213
pic_2013235352,0.450044
pic_2013244214,0.567613
pic_2013245805,0.261451
pic_2013262369,0.666593
pic_2013294225,0.567258
pic_2013296929,0.151724
pic_2013296958,0.632513
pic_2013324743,0.417704
pic_2013335134,0.065899
pic_2013339434,0.849885
pic_2013341266,0.813104
pic_2013341819,0.746819
pic_2013361219,0.350804
pic_2013411550,0.558070
pic_2013446749,0.898120
pic_2013475570,0.882760
pic_2013476155,0.719959
pic_2013547287,0.619627
pic_2013553108,0.615897
pic_2013556656,0.516253
pic_2013575487,0.538998
pic_2013581494,0.293597
pic_2013619498,0.022443
pic_2013623779,0.972128
pic_2013643175,0.750639
pic_2013652185,0.994216
pic_2013685829,0.205613
pic_2013715660,0.972966
pic_2013744742,0.882994
pic_2013760472,0.974985
pic_2013765655,0.006213
pic_2013771430,0.693758
pic_2013771446,0.973095
pic_2013796084,0.561068
pic_2013803483,0.092456
pic_2013813607,0.083919
pic_2013839209,0.746720
pic_2013881803,0.702644
pic_2013892829,0.179898
pic_2013905825,0.890493
pic_2013910531,0.986561
pic_2013913006,0.145228
pic_2013926914,0.842853
pic_2013939462,0.093617
pic_2013968362,0.899050
pic_2013976456,0.795534
pic_2013988901,0.552845
pic_2014035150,0.999092
pic_2014061184,0.000102
pic_2014077763,0.983528
pic_2014086656,0.537051
pic_2014088945,0.999621
pic_2014096201,0.406905
pic_2014110584,0.801486
pic_2014158951,0.908139
pic_2014174067,0.303971
pic_2014177567,0.078105
pic_2014189542,0.992162
pic_2014217913,0.999987
pic_2014245276,0.612884
pic_2014245575,0.980454
pic_2014251977,0.973951
pic_2014264294,0.992325
pic_2014267815,0.999984
pic_2014271495,0.901221
pic_2014282719,0.999467
pic_2014332898,0.999805
pic_2014334750,0.654090
pic_2014335105,0.747432
pic_2014346074,0.790098
pic_2014355299,0.068905
pic_2014360333,0.000843
pic_2014380194,0.465439
pic_2014396805,0.892687
pic_2014398165,0.378223
pic_2014419772,0.971951
pic_2014472693,0.935924
pic_2014474516,0.794185
pic_2014479055,0.054780
pic_2014480161,0.809255
pic_2014514551,0.848148
pic_2014524690,0.888551
pic_2014526675,0.692993
pic_2014527909,0.998261
pic_2014546026,0.947587
pic_2014601256,0.990997
pic_2014645696,0.837211
pic_2014659766,0.937724
pic_2014667281,0.999866
pic_2014702424,0.986663
pic_2014707914,0.984894
pic_2014720852,0.557198
pic_2014723554,0.994652
pic_2014723684,0.669582
pic_2014745884,0.242433
pic_2014766408,0.990825
