pic_id,pred
pic_2011145773,0.156014881
pic_2011166734,0.778645432
pic_2011186376,0.011996755
pic_2011212927,0.907644967
pic_2011235335,0.522840508
pic_2011236069,0.918846153
pic_2011247002,0.026782137
pic_2011247901,0.267785839
pic_2011251049,0.174412242
pic_2011258837,0.752540459
pic_2011259751,0.01177948
pic_2011284149,0.140396502
pic_2011316301,0.013779542
pic_2011341615,0.736146201
pic_2011352608,0.013101478
pic_2011354519,0.476474229
pic_2011356400,0.072544758
pic_2011356916,0.632186916
pic_2011367246,0.001385513
pic_2011389441,0.005534897
pic_2011399634,0.841810018
pic_2011404228,0.051572656
pic_2011414574,0.061109605
pic_2011425797,0.446632605
pic_2011428824,0.755040803
pic_2011451614,0.398083
pic_2011490905,0.235265803
pic_2011514792,0.652681154
pic_2011522856,0.126779047
pic_2011523481,0.476684992
pic_2011548633,0.088782618
pic_2011591580,0.818143074
pic_2011624617,0.017106058
pic_2011630482,0.11420993
pic_2011652161,0.294941796
pic_2011663815,0.907832747
pic_2011679310,0.031219442
pic_2011722359,0.898613775
pic_2011723191,0.393840211
pic_2011726745,0.890049733
pic_2011731608,0.352588065
pic_2011733890,0.546188753
pic_2011737455,0.334789902
pic_2011769372,0.249315255
pic_2011778242,0.000457703
pic_2011789805,0.464541554
pic_2011791045,0.34514325
pic_2011795767,0.002502819
pic_2011807962,0.924020245
pic_2011811024,0.808722641
pic_2011819135,0.017446467
pic_2011821180,0.106693178
pic_2011823406,0.108064322
pic_2011826386,0.036419834
pic_2011831958,0.568219487
pic_2011838645,0.240036602
pic_2011874176,0.019245832
pic_2011876236,0.341668721
pic_2011878126,0.830216854
pic_2011906676,0.808522826
pic_2011906733,0.000329991
pic_2011908944,0.436791957
pic_2011932917,0.316394463
pic_2011964210,0.019822973
pic_2011976306,0.704605419
pic_2011989733,0.023694887
pic_2012005500,0.584853276
pic_2012009670,0.154060615
pic_2012036152,0.192626411
pic_2012086214,0.417841472
pic_2012091670,0.010284965
pic_2012096776,0.196535005
pic_2012118030,0.225327028
pic_2012166695,0.011797351
pic_2012192944,0.242753228
pic_2012194456,0.001335524
pic_2012209273,0.963051449
pic_2012212638,0.134091253
pic_2012244182,0.127913712
pic_2012252996,0.18105797
pic_2012261018,0.016539407
pic_2012275680,0.208209149
pic_2012296256,0.277548735
pic_2012307073,0.014288433
pic_2012310878,0.186049088
pic_2012331000,0.860247435
pic_2012395164,0.117645385
pic_2012408948,0.100150707
pic_2012418303,0.008138592
pic_2012433286,0.004606905
pic_2012463016,0.457895584
pic_2012480917,0.922157395
pic_2012496158,0.307782942
pic_2012502256,0.158337442
pic_2012503722,0.041651761
pic_2012512050,0.225939893
pic_2012539617,0.641367131
pic_2012560161,0.440680309
pic_2012581677,0.275487711
pic_2012585303,0.072113826
pic_2012628859,0.027412797
pic_2012638736,0.042553911
pic_2012676778,0.580543958
pic_2012691027,0.859408296
pic_2012707518,0.507073883
pic_2012711229,0.858750458
pic_2012716293,0.111134345
pic_2012778223,0.011741568
pic_2012784224,0.876268766
pic_2012824788,0.077239877
pic_2012831518,0.000273297
pic_2012848652,0.959135572
pic_2012848696,0.841187834
pic_2012855240,0.397176613
pic_2012862797,0.002535235
pic_2012875740,0.09876012
pic_2012890173,0.975942453
pic_2012892473,0.043322186
pic_2012919232,0.295509595
pic_2012928649,0.005985529
pic_2012937741,0.155897323
pic_2012952717,0.009119268
pic_2012988233,0.523619648
pic_2012992470,0.006192815
pic_2013012299,0.075313133
pic_2013042072,0.00396917
pic_2013043624,0.632338625
pic_2013074685,0.754730664
pic_2013083156,0.0377931
pic_2013086370,0.282464276
pic_2013102664,0.596404444
pic_2013111933,0.613331781
pic_2013148896,0.571026088
pic_2013151460,0.208913954
pic_2013204182,0.559627872
pic_2013235352,0.080789425
pic_2013244214,0.020419853
pic_2013245805,0.037375143
pic_2013262369,0.412746085
pic_2013294225,0.050859482
pic_2013296929,0.034219784
pic_2013296958,0.813469275
pic_2013324743,0.086648212
pic_2013335134,0.010086428
pic_2013339434,0.206093395
pic_2013341266,0.537309311
pic_2013341819,0.107679026
pic_2013361219,0.005271151
pic_2013411550,0.108765873
pic_2013446749,0.427625149
pic_2013475570,0.194921887
pic_2013476155,0.002502829
pic_2013547287,0.358187773
pic_2013553108,0.690813756
pic_2013556656,0.151827212
pic_2013575487,0.473992358
pic_2013581494,0.074969977
pic_2013619498,0.000394809
pic_2013623779,0.910454639
pic_2013643175,0.38488504
pic_2013652185,0.973795017
pic_2013685829,0.003067406
pic_2013715660,0.860577391
pic_2013744742,0.830019805
pic_2013760472,0.841672838
pic_2013765655,0.001486339
pic_2013771430,0.054375401
pic_2013771446,0.535380819
pic_2013796084,0.138333575
pic_2013803483,0.081660734
pic_2013813607,0.001530328
pic_2013839209,0.158126926
pic_2013881803,0.112448372
pic_2013892829,0.017870838
pic_2013905825,0.620684014
pic_2013910531,0.776666684
pic_2013913006,0.023118089
pic_2013926914,0.556499513
pic_2013939462,0.010550418
pic_2013968362,0.568288157
pic_2013976456,0.774761613
pic_2013988901,0.022109577
pic_2014035150,0.925240107
pic_2014061184,2.15962E-05
pic_2014077763,0.606882872
pic_2014086656,0.057282214
pic_2014088945,0.91334
pic_2014096201,0.046064405
pic_2014110584,0.370261077
pic_2014158951,0.600198351
pic_2014174067,0.044934021
pic_2014177567,0.040116309
pic_2014189542,0.59280124
pic_2014217913,0.953058147
pic_2014245276,0.372741047
pic_2014245575,0.668323024
pic_2014251977,0.794720858
pic_2014264294,0.474419939
pic_2014267815,0.950972754
pic_2014271495,0.203882132
pic_2014282719,0.916528555
pic_2014332898,0.768321553
pic_2014334750,0.123212644
pic_2014335105,0.162218738
pic_2014346074,0.617741735
pic_2014355299,0.001231256
pic_2014360333,0.001866759
pic_2014380194,0.237358855
pic_2014396805,0.72916638
pic_2014398165,0.111849538
pic_2014419772,0.66012469
pic_2014472693,0.648819761
pic_2014474516,0.290619409
pic_2014479055,0.010148355
pic_2014480161,0.229869307
pic_2014514551,0.206471485
pic_2014524690,0.627189873
pic_2014526675,0.079026065
pic_2014527909,0.837932315
pic_2014546026,0.06889967
pic_2014601256,0.872425868
pic_2014645696,0.497327405
pic_2014659766,0.58854739
pic_2014667281,0.861230573
pic_2014702424,0.29519627
pic_2014707914,0.387402072
pic_2014720852,0.314118967
pic_2014723554,0.428725855
pic_2014723684,0.038045404
pic_2014745884,0.007838232
pic_2014766408,0.729283568
pic_2014776398,0.361573608
pic_2014810478,0.647561047
pic_2014811997,0.019500533
pic_2014831235,0.155911489
pic_2014862843,0.140995957
pic_2014879589,0.005372081
pic_2014899753,0.781575149
pic_2014901704,0.104131241
pic_2014936269,0.042014444
pic_2014936405,0.822440104
pic_2014941928,0.00019372
pic_2014998269,0.373645694
pic_2015000816,0.036625643
pic_2015019704,0.624894458
pic_2015051061,0.109720187
pic_2015053162,0.854851326
pic_2015059393,0.016813198
pic_2015064119,0.954482266
pic_2015089359,0.465127966
pic_2015120766,0.088265992
pic_2015122325,0.877703577
pic_2015143006,0.853523401
pic_2015167436,0.024093246
pic_2015169779,0.043430368
pic_2015172112,0.316246858
pic_2015175227,0.671664712
pic_2015176000,0.045418785
pic_2015189565,0.029347528
pic_2015191600,0.388302495
pic_2015192134,0.964870503
pic_2015212761,0.006735559
pic_2015230819,0.012848383
pic_2015244138,0.686721146
pic_2015251328,0.013402018
pic_2015286276,0.004424788
pic_2015301079,0.732192843
pic_2015319229,0.01158847
pic_2015323165,0.014033975
pic_2015354275,0.927468809
pic_2015385127,0.71112701
pic_2015428589,0.537603511
pic_2015447616,0.401135834
pic_2015458049,0.801453363
pic_2015467374,0.990727694
