pic_id,pred
pic_2011145773,0.414095
pic_2011166734,0.873899
pic_2011186376,0.398986
pic_2011212927,0.968551
pic_2011235335,0.703150
pic_2011236069,0.969947
pic_2011247002,0.149882
pic_2011247901,0.200908
pic_2011251049,0.344375
pic_2011258837,0.760070
pic_2011259751,0.134532
pic_2011284149,0.656723
pic_2011316301,0.234727
pic_2011341615,0.902458
pic_2011352608,0.271366
pic_2011354519,0.828834
pic_2011356400,0.489558
pic_2011356916,0.874086
pic_2011367246,0.023688
pic_2011389441,0.009853
pic_2011399634,0.836547
pic_2011404228,0.117329
pic_2011414574,0.616536
pic_2011425797,0.645457
pic_2011428824,0.458044
pic_2011451614,0.991421
pic_2011490905,0.800062
pic_2011514792,0.812292
pic_2011522856,0.830517
pic_2011523481,0.818356
pic_2011548633,0.428348
pic_2011591580,0.963521
pic_2011624617,0.086042
pic_2011630482,0.302948
pic_2011652161,0.696405
pic_2011663815,0.981037
pic_2011679310,0.304047
pic_2011722359,0.907002
pic_2011723191,0.907850
pic_2011726745,0.963831
pic_2011731608,0.911065
pic_2011733890,0.906471
pic_2011737455,0.594485
pic_2011769372,0.784370
pic_2011778242,0.013960
pic_2011789805,0.911818
pic_2011791045,0.484928
pic_2011795767,0.052958
pic_2011807962,0.875804
pic_2011811024,0.774534
pic_2011819135,0.139897
pic_2011821180,0.496294
pic_2011823406,0.135846
pic_2011826386,0.229115
pic_2011831958,0.846333
pic_2011838645,0.295749
pic_2011874176,0.149881
pic_2011876236,0.798689
pic_2011878126,0.907099
pic_2011906676,0.966957
pic_2011906733,0.068924
pic_2011908944,0.772478
pic_2011932917,0.794602
pic_2011964210,0.737266
pic_2011976306,0.895861
pic_2011989733,0.442383
pic_2012005500,0.704472
pic_2012009670,0.502490
pic_2012036152,0.380790
pic_2012086214,0.683507
pic_2012091670,0.311707
pic_2012096776,0.354725
pic_2012118030,0.938132
pic_2012166695,0.674266
pic_2012192944,0.189379
pic_2012194456,0.054811
pic_2012209273,0.916874
pic_2012212638,0.580727
pic_2012244182,0.258829
pic_2012252996,0.055054
pic_2012261018,0.272930
pic_2012275680,0.642812
pic_2012296256,0.661479
pic_2012307073,0.042969
pic_2012310878,0.460248
pic_2012331000,0.984444
pic_2012395164,0.494256
pic_2012408948,0.310651
pic_2012418303,0.082240
pic_2012433286,0.136006
pic_2012463016,0.396144
pic_2012480917,0.925831
pic_2012496158,0.921395
pic_2012502256,0.683817
pic_2012503722,0.464083
pic_2012512050,0.476164
pic_2012539617,0.824294
pic_2012560161,0.950776
pic_2012581677,0.786397
pic_2012585303,0.058504
pic_2012628859,0.377823
pic_2012638736,0.578697
pic_2012676778,0.766409
pic_2012691027,0.761527
pic_2012707518,0.952336
pic_2012711229,0.851650
pic_2012716293,0.872502
pic_2012778223,0.395139
pic_2012784224,0.805987
pic_2012824788,0.604640
pic_2012831518,0.242980
pic_2012848652,0.980512
pic_2012848696,0.988801
pic_2012855240,0.947673
pic_2012862797,0.036883
pic_2012875740,0.885691
pic_2012890173,0.985315
pic_2012892473,0.429272
pic_2012919232,0.707717
pic_2012928649,0.067692
pic_2012937741,0.658313
pic_2012952717,0.520438
pic_2012988233,0.811014
pic_2012992470,0.035597
pic_2013012299,0.737789
pic_2013042072,0.121710
pic_2013043624,0.754001
pic_2013074685,0.930876
pic_2013083156,0.566353
pic_2013086370,0.637314
pic_2013102664,0.827222
pic_2013111933,0.919104
pic_2013148896,0.952031
pic_2013151460,0.540966
pic_2013204182,0.552005
pic_2013235352,0.431982
pic_2013244214,0.435164
pic_2013245805,0.440602
pic_2013262369,0.722166
pic_2013294225,0.477865
pic_2013296929,0.046139
pic_2013296958,0.873881
pic_2013324743,0.336938
pic_2013335134,0.095309
pic_2013339434,0.230006
pic_2013341266,0.501469
pic_2013341819,0.336886
pic_2013361219,0.160955
pic_2013411550,0.230133
pic_2013446749,0.952100
pic_2013475570,0.822843
pic_2013476155,0.048302
pic_2013547287,0.833221
pic_2013553108,0.899115
pic_2013556656,0.703386
pic_2013575487,0.827487
pic_2013581494,0.253181
pic_2013619498,0.091382
pic_2013623779,0.906533
pic_2013643175,0.333972
pic_2013652185,0.801588
pic_2013685829,0.030784
pic_2013715660,0.849336
pic_2013744742,0.898379
pic_2013760472,0.641725
pic_2013765655,0.020521
pic_2013771430,0.156125
pic_2013771446,0.885767
pic_2013796084,0.646110
pic_2013803483,0.227988
pic_2013813607,0.024109
pic_2013839209,0.716539
