pic_id,pred
pic_2011145773,0.11176
pic_2011166734,0.994968
pic_2011186376,0.052728
pic_2011212927,0.998781
pic_2011235335,0.739534
pic_2011236069,0.998841
pic_2011247002,0.015322
pic_2011247901,0.46654
pic_2011251049,0.826229
pic_2011258837,0.975594
pic_2011259751,0.563807
pic_2011284149,0.981025
pic_2011316301,0.001321
pic_2011341615,0.998248
pic_2011352608,0.174506
pic_2011354519,0.999189
pic_2011356400,0.98408
pic_2011356916,0.931725
pic_2011367246,0.003182
pic_2011389441,0.001467
pic_2011399634,0.987666
pic_2011404228,0.558381
pic_2011414574,0.486014
pic_2011425797,0.611666
pic_2011428824,0.994496
pic_2011451614,0.057377
pic_2011490905,0.984995
pic_2011514792,0.911772
pic_2011522856,0.970092
pic_2011523481,0.989399
pic_2011548633,0.081389
pic_2011591580,0.925821
pic_2011624617,0.002946
pic_2011630482,0.987662
pic_2011652161,0.01059
pic_2011663815,0.999897
pic_2011679310,0.007251
pic_2011722359,0.623173
pic_2011723191,0.996089
pic_2011726745,0.993559
pic_2011731608,0.019213
pic_2011733890,0.992398
pic_2011737455,0.369208
pic_2011769372,0.961861
pic_2011778242,0.004121
pic_2011789805,0.730515
pic_2011791045,0.97712
pic_2011795767,0.032037
pic_2011807962,0.999968
pic_2011811024,0.411606
pic_2011819135,0.105569
pic_2011821180,0.9481
pic_2011823406,0.017516
pic_2011826386,0.015586
pic_2011831958,0.945197
pic_2011838645,0.299109
pic_2011874176,0.009238
pic_2011876236,0.794126
pic_2011878126,0.999099
pic_2011906676,0.94794
pic_2011906733,0.044783
pic_2011908944,0.100214
pic_2011932917,0.716729
pic_2011964210,0.251241
pic_2011976306,0.019394
pic_2011989733,0.161673
pic_2012005500,0.196008
pic_2012009670,0.973438
pic_2012036152,0.949357
pic_2012086214,0.678693
pic_2012091670,0.01821
pic_2012096776,0.627778
pic_2012118030,0.362544
pic_2012166695,0.020957
pic_2012192944,0.987364
pic_2012194456,0.000035
pic_2012209273,0.99994
pic_2012212638,0.804377
pic_2012244182,0.063412
pic_2012252996,0.851256
pic_2012261018,0.610093
pic_2012275680,0.569487
pic_2012296256,0.978072
pic_2012307073,0.102857
pic_2012310878,0.204663
pic_2012331000,0.954838
pic_2012395164,0.686664
pic_2012408948,0.064621
pic_2012418303,0.001021
pic_2012433286,0.028102
pic_2012463016,0.915362
pic_2012480917,0.999868
pic_2012496158,0.721032
pic_2012502256,0.953207
pic_2012503722,0.968671
pic_2012512050,0.888292
pic_2012539617,0.856145
pic_2012560161,0.964802
pic_2012581677,0.023962
pic_2012585303,0.09773
pic_2012628859,0.965385
pic_2012638736,0.027568
pic_2012676778,0.99113
pic_2012691027,0.998816
pic_2012707518,0.364026
pic_2012711229,0.380304
pic_2012716293,0.09471
pic_2012778223,0.999557
pic_2012784224,0.995208
pic_2012824788,0.041464
pic_2012831518,0.234579
pic_2012848652,0.933262
pic_2012848696,0.99533
pic_2012855240,0.99328
pic_2012862797,0.001402
pic_2012875740,0.053132
pic_2012890173,0.943213
pic_2012892473,0.70985
pic_2012919232,0.048458
pic_2012928649,0.054679
pic_2012937741,0.691719
pic_2012952717,0.845076
pic_2012988233,0.046903
pic_2012992470,0.604979
pic_2013012299,0.103469
pic_2013042072,0.02101
pic_2013043624,0.330963
pic_2013074685,0.07116
pic_2013083156,0.227263
pic_2013086370,0.244688
pic_2013102664,0.988446
pic_2013111933,0.037798
pic_2013148896,0.426704
pic_2013151460,0.787588
pic_2013204182,0.998954
pic_2013235352,0.096238
pic_2013244214,0.001944
pic_2013245805,0.01514
pic_2013262369,0.659345
pic_2013294225,0.034551
pic_2013296929,0.013148
pic_2013296958,0.962533
pic_2013324743,0.000707
pic_2013335134,0.027734
pic_2013339434,0.093222
pic_2013341266,0.840376
pic_2013341819,0.032237
pic_2013361219,0.053235
pic_2013411550,0.019012
pic_2013446749,0.119773
pic_2013475570,0.032904
pic_2013476155,0.000871
pic_2013547287,0.006654
pic_2013553108,0.755962
pic_2013556656,0.13788
pic_2013575487,0.172975
pic_2013581494,0.008097
pic_2013619498,0.006426
pic_2013623779,0.983805
pic_2013643175,0.097173
pic_2013652185,0.999688
pic_2013685829,0.01749
pic_2013715660,0.999092
pic_2013744742,0.999197
