pic_id,pred
pic_2011145773,0.442194
pic_2011166734,0.898317
pic_2011186376,0.399200
pic_2011212927,0.975419
pic_2011235335,0.269012
pic_2011236069,0.777527
pic_2011247002,0.068523
pic_2011247901,0.790122
pic_2011251049,0.095377
pic_2011258837,0.985010
pic_2011259751,0.017470
pic_2011284149,0.696669
pic_2011316301,0.180902
pic_2011341615,0.748702
pic_2011352608,0.124904
pic_2011354519,0.860919
pic_2011356400,0.577424
pic_2011356916,0.935538
pic_2011367246,0.138062
pic_2011389441,0.108160
pic_2011399634,0.851283
pic_2011404228,0.109914
pic_2011414574,0.644366
pic_2011425797,0.657837
pic_2011428824,0.939277
pic_2011451614,0.090487
pic_2011490905,0.770156
pic_2011514792,0.825574
pic_2011522856,0.743340
pic_2011523481,0.765152
pic_2011548633,0.514606
pic_2011591580,0.817620
pic_2011624617,0.432402
pic_2011630482,0.176407
pic_2011652161,0.448511
pic_2011663815,0.810588
pic_2011679310,0.338298
pic_2011722359,0.885129
pic_2011723191,0.513486
pic_2011726745,0.979088
pic_2011731608,0.743413
pic_2011733890,0.869482
pic_2011737455,0.906124
pic_2011769372,0.901066
pic_2011778242,0.007121
pic_2011789805,0.677932
pic_2011791045,0.862224
pic_2011795767,0.021492
pic_2011807962,0.984300
pic_2011811024,0.396540
pic_2011819135,0.300045
pic_2011821180,0.912651
pic_2011823406,0.096894
pic_2011826386,0.185370
pic_2011831958,0.906145
pic_2011838645,0.705670
pic_2011874176,0.383494
pic_2011876236,0.693314
pic_2011878126,0.837497
pic_2011906676,0.879014
pic_2011906733,0.028119
pic_2011908944,0.812626
pic_2011932917,0.846313
pic_2011964210,0.159573
pic_2011976306,0.952412
pic_2011989733,0.059579
pic_2012005500,0.969529
pic_2012009670,0.594163
pic_2012036152,0.755327
pic_2012086214,0.913582
pic_2012091670,0.057475
pic_2012096776,0.488796
pic_2012118030,0.413252
pic_2012166695,0.294321
pic_2012192944,0.397382
pic_2012194456,0.141321
pic_2012209273,0.847207
pic_2012212638,0.659089
pic_2012244182,0.695923
pic_2012252996,0.371535
pic_2012261018,0.316704
pic_2012275680,0.747609
pic_2012296256,0.181554
pic_2012307073,0.293951
pic_2012310878,0.234384
pic_2012331000,0.817084
pic_2012395164,0.093104
pic_2012408948,0.374729
pic_2012418303,0.041725
pic_2012433286,0.022696
pic_2012463016,0.327524
pic_2012480917,0.740319
pic_2012496158,0.521117
pic_2012502256,0.969501
pic_2012503722,0.175311
pic_2012512050,0.388619
pic_2012539617,0.837469
pic_2012560161,0.896056
pic_2012581677,0.354933
pic_2012585303,0.574458
pic_2012628859,0.055526
pic_2012638736,0.143157
pic_2012676778,0.960456
pic_2012691027,0.990206
pic_2012707518,0.513464
pic_2012711229,0.605779
pic_2012716293,0.807902
pic_2012778223,0.146176
pic_2012784224,0.827025
pic_2012824788,0.125290
pic_2012831518,0.056667
pic_2012848652,0.843635
pic_2012848696,0.738334
pic_2012855240,0.791635
pic_2012862797,0.211231
pic_2012875740,0.716183
pic_2012890173,0.984061
pic_2012892473,0.220583
pic_2012919232,0.568128
pic_2012928649,0.156243
pic_2012937741,0.852553
pic_2012952717,0.031901
pic_2012988233,0.649394
pic_2012992470,0.304885
pic_2013012299,0.399677
