pic_id,pred
pic_2011145773,0.151001
pic_2011166734,0.958776
pic_2011186376,0.035171
pic_2011212927,0.996946
pic_2011235335,0.429609
pic_2011236069,0.966912
pic_2011247002,0.099936
pic_2011247901,0.029783
pic_2011251049,0.105998
pic_2011258837,0.618300
pic_2011259751,0.207857
pic_2011284149,0.254516
pic_2011316301,0.039061
pic_2011341615,0.928006
pic_2011352608,0.074490
pic_2011354519,0.440451
pic_2011356400,0.471430
pic_2011356916,0.689849
pic_2011367246,0.000132
pic_2011389441,0.012252
pic_2011399634,0.566588
pic_2011404228,0.057133
pic_2011414574,0.424664
pic_2011425797,0.340106
pic_2011428824,0.762599
pic_2011451614,0.955056
pic_2011490905,0.053966
pic_2011514792,0.772698
pic_2011522856,0.044091
pic_2011523481,0.734303
pic_2011548633,0.045737
pic_2011591580,0.883792
pic_2011624617,0.038428
pic_2011630482,0.385470
pic_2011652161,0.207600
pic_2011663815,0.995129
pic_2011679310,0.026875
pic_2011722359,0.618946
pic_2011723191,0.813145
pic_2011726745,0.863832
pic_2011731608,0.570004
pic_2011733890,0.454547
pic_2011737455,0.334778
pic_2011769372,0.544059
pic_2011778242,0.000815
pic_2011789805,0.373387
pic_2011791045,0.804904
pic_2011795767,0.029686
pic_2011807962,0.664996
pic_2011811024,0.738094
pic_2011819135,0.199579
pic_2011821180,0.181085
pic_2011823406,0.038968
pic_2011826386,0.013868
pic_2011831958,0.723203
pic_2011838645,0.218483
pic_2011874176,0.023361
pic_2011876236,0.557120
pic_2011878126,0.854847
pic_2011906676,0.879889
pic_2011906733,0.001021
pic_2011908944,0.500167
pic_2011932917,0.290922
pic_2011964210,0.332825
pic_2011976306,0.806240
pic_2011989733,0.265942
pic_2012005500,0.073436
pic_2012009670,0.778414
pic_2012036152,0.140658
pic_2012086214,0.358643
pic_2012091670,0.009920
pic_2012096776,0.100295
pic_2012118030,0.088278
pic_2012166695,0.020945
pic_2012192944,0.392707
pic_2012194456,0.000787
pic_2012209273,0.963305
pic_2012212638,0.617035
pic_2012244182,0.040726
pic_2012252996,0.240064
pic_2012261018,0.113773
pic_2012275680,0.034153
pic_2012296256,0.465095
pic_2012307073,0.007405
pic_2012310878,0.023701
pic_2012331000,0.963990
pic_2012395164,0.399583
pic_2012408948,0.112823
pic_2012418303,0.000440
pic_2012433286,0.060276
pic_2012463016,0.269671
pic_2012480917,0.918021
pic_2012496158,0.221153
pic_2012502256,0.196728
pic_2012503722,0.280151
pic_2012512050,0.456689
pic_2012539617,0.285499
pic_2012560161,0.714495
pic_2012581677,0.280599
pic_2012585303,0.146345
pic_2012628859,0.380169
pic_2012638736,0.085559
pic_2012676778,0.790825
pic_2012691027,0.145677
pic_2012707518,0.588164
pic_2012711229,0.405700
pic_2012716293,0.318794
pic_2012778223,0.088321
pic_2012784224,0.843636
pic_2012824788,0.067441
pic_2012831518,0.004754
pic_2012848652,0.969415
pic_2012848696,0.978491
pic_2012855240,0.656659
pic_2012862797,0.032226
pic_2012875740,0.461806
pic_2012890173,0.931953
pic_2012892473,0.039185
pic_2012919232,0.581371
pic_2012928649,0.027693
pic_2012937741,0.252573
pic_2012952717,0.002008
pic_2012988233,0.115757
pic_2012992470,0.001426
pic_2013012299,0.745607
pic_2013042072,0.025401
pic_2013043624,0.464287
pic_2013074685,0.741960
pic_2013083156,0.022195
pic_2013086370,0.426475
pic_2013102664,0.779431
pic_2013111933,0.415768
pic_2013148896,0.438420
pic_2013151460,0.705980
pic_2013204182,0.499672
pic_2013235352,0.082720
pic_2013244214,0.212503
pic_2013245805,0.023563
pic_2013262369,0.229441
pic_2013294225,0.541137
pic_2013296929,0.045362
pic_2013296958,0.637492
pic_2013324743,0.277140
pic_2013335134,0.009284
pic_2013339434,0.272578
pic_2013341266,0.392637
pic_2013341819,0.188651
pic_2013361219,0.000425
pic_2013411550,0.183001
pic_2013446749,0.402952
pic_2013475570,0.117638
pic_2013476155,0.016808
pic_2013547287,0.362284
pic_2013553108,0.614218
pic_2013556656,0.091006
pic_2013575487,0.261026
pic_2013581494,0.009124
pic_2013619498,0.005961
pic_2013623779,0.996268
pic_2013643175,0.604829
pic_2013652185,0.997766
pic_2013685829,0.001246
pic_2013715660,0.957458
pic_2013744742,0.892792
pic_2013760472,0.687478
pic_2013765655,0.000666
pic_2013771430,0.115682
pic_2013771446,0.877846
pic_2013796084,0.109660
pic_2013803483,0.018038
pic_2013813607,0.004522
pic_2013839209,0.429380
pic_2013881803,0.146447
pic_2013892829,0.096033
pic_2013905825,0.382160
pic_2013910531,0.758374
pic_2013913006,0.347160
pic_2013926914,0.423425
pic_2013939462,0.081740
pic_2013968362,0.377958
pic_2013976456,0.873001
pic_2013988901,0.014673
pic_2014035150,0.777520
pic_2014061184,0.003546
pic_2014077763,0.587840
pic_2014086656,0.148756
pic_2014088945,0.932377
pic_2014096201,0.030311
pic_2014110584,0.159090
pic_2014158951,0.499043
pic_2014174067,0.040126
pic_2014177567,0.034860
pic_2014189542,0.765138
pic_2014217913,0.979734
pic_2014245276,0.950182
pic_2014245575,0.794904
pic_2014251977,0.749957
pic_2014264294,0.244448
pic_2014267815,0.925450
pic_2014271495,0.263728
pic_2014282719,0.993529
pic_2014332898,0.790707
pic_2014334750,0.190416
pic_2014335105,0.701600
pic_2014346074,0.148059
pic_2014355299,0.339654
pic_2014360333,0.008390
pic_2014380194,0.189630
pic_2014396805,0.693322
pic_2014398165,0.393574
pic_2014419772,0.839538
pic_2014472693,0.398376
pic_2014474516,0.177031
pic_2014479055,0.017825
pic_2014480161,0.224069
pic_2014514551,0.540522
pic_2014524690,0.567168
pic_2014526675,0.390631
pic_2014527909,0.725292
pic_2014546026,0.428399
pic_2014601256,0.653402
pic_2014645696,0.850020
pic_2014659766,0.308620
pic_2014667281,0.718456
pic_2014702424,0.883605
pic_2014707914,0.585062
pic_2014720852,0.230245
pic_2014723554,0.291284
pic_2014723684,0.048440
pic_2014745884,0.008271
pic_2014766408,0.938399
pic_2014776398,0.079771
pic_2014810478,0.320523
pic_2014811997,0.089889
pic_2014831235,0.221442
pic_2014862843,0.367563
pic_2014879589,0.010101
pic_2014899753,0.758071
pic_2014901704,0.075281
pic_2014936269,0.048162
pic_2014936405,0.489925
pic_2014941928,0.001302
pic_2014998269,0.617113
pic_2015000816,0.002023
pic_2015019704,0.665302
pic_2015051061,0.182167
pic_2015053162,0.889619
pic_2015059393,0.174707
pic_2015064119,0.929477
pic_2015089359,0.644958
pic_2015120766,0.251272
pic_2015122325,0.993183
pic_2015143006,0.991009
pic_2015167436,0.006687
pic_2015169779,0.023775
pic_2015172112,0.026440
pic_2015175227,0.792529
pic_2015176000,0.254609
pic_2015189565,0.246699
pic_2015191600,0.234313
pic_2015192134,0.943845
pic_2015212761,0.002149
pic_2015230819,0.003605
pic_2015244138,0.905373
pic_2015251328,0.004869
pic_2015286276,0.144610
pic_2015301079,0.689727
pic_2015319229,0.082435
pic_2015323165,0.029485
pic_2015354275,0.857909
pic_2015385127,0.686332
pic_2015428589,0.969430
pic_2015447616,0.192254
pic_2015458049,0.826294
pic_2015467374,0.986704
pic_2015503965,0.829270
pic_2015506184,0.756508
pic_2015532365,0.595828
pic_2015564858,0.284890
pic_2015589571,0.294133
pic_2015603470,0.928275
pic_2015608115,0.028832
pic_2015625174,0.367162
pic_2015643400,0.619186
pic_2015659391,0.766912
pic_2015689265,0.023221
pic_2015696082,0.896676
pic_2015729308,0.024702
pic_2015730222,0.253083
pic_2015731714,0.015848
pic_2015735915,0.909607
pic_2015742003,0.943516
pic_2015781045,0.003578
pic_2015815372,0.878566
pic_2015825757,0.675637
pic_2015845554,0.435965
pic_2015857874,0.957088
pic_2015861004,0.747235
pic_2015922870,0.621850
pic_2015922965,0.272545
pic_2015926276,0.949618
pic_2015926499,0.720197
pic_2015931624,0.973108
pic_2015943500,0.559702
pic_2015945571,0.780759
pic_2015965753,0.542044
pic_2015987737,0.994603
pic_2016002102,0.050755
pic_2016056805,0.908817
pic_2016085160,0.125273
pic_2016096455,0.030372
pic_2016107266,0.371932
pic_2016125534,0.431889
pic_2016153040,0.478464
pic_2016163529,0.033490
pic_2016177310,0.549130
pic_2016192242,0.968478
pic_2016220991,0.002681
pic_2016221355,0.876329
pic_2016225698,0.017611
pic_2016225840,0.697314
pic_2016225951,0.543925
pic_2016226651,0.253307
pic_2016246073,0.264852
pic_2016250424,0.002307
pic_2016257149,0.866017
pic_2016282117,0.001126
pic_2016305389,0.704987
pic_2016324294,0.778119
pic_2016340569,0.006548
pic_2016348355,0.046655
pic_2016438646,0.425518
pic_2016469996,0.898940
pic_2016472130,0.377513
pic_2016510983,0.122259
pic_2016557632,0.528100
pic_2016558882,0.132170
pic_2016563000,0.041915
pic_2016572604,0.708838
pic_2016579588,0.118984
pic_2016605151,0.686037
pic_2016612297,0.976029
pic_2016623906,0.047111
pic_2016634710,0.019938
pic_2016642669,0.856463
pic_2016658199,0.709973
pic_2016681360,0.893025
pic_2016696551,0.624503
pic_2016702986,0.365583
pic_2016708992,0.492999
pic_2016741299,0.191775
pic_2016765154,0.193773
pic_2016777931,0.862934
pic_2016780765,0.912204
pic_2016790202,0.289967
pic_2016796689,0.415511
pic_2016805819,0.330433
pic_2016809969,0.811073
pic_2016830977,0.325315
pic_2016844833,0.971562
pic_2016847412,0.407422
pic_2016853097,0.915001
pic_2016880862,0.300735
pic_2016881103,0.024752
pic_2016890676,0.932482
pic_2016915746,0.332516
pic_2016919438,0.989358
pic_2016924156,0.483399
pic_2016969207,0.063126
pic_2016976658,0.982446
pic_2016985194,0.022166
pic_2016999510,0.674040
pic_2017011689,0.085186
pic_2017037702,0.943057
pic_2017046579,0.613084
pic_2017073824,0.995023
pic_2017077252,0.064638
pic_2017123437,0.783928
pic_2017167105,0.224090
pic_2017172411,0.177882
pic_2017183350,0.583694
pic_2017196122,0.858016
pic_2017206219,0.548089
pic_2017215713,0.302622
pic_2017239321,0.267692
pic_2017239995,0.117353
pic_2017250426,0.912641
pic_2017256434,0.011175
pic_2017261330,0.422332
pic_2017276280,0.951225
pic_2017283231,0.576097
pic_2017299852,0.037796
pic_2017304601,0.200891
pic_2017304659,0.202880
pic_2017328786,0.004650
pic_2017330428,0.017572
pic_2017349748,0.130492
pic_2017350898,0.832444
pic_2017352596,0.584216
pic_2017372407,0.129894
pic_2017384945,0.745960
pic_2017432493,0.030428
pic_2017474198,0.399672
pic_2017495570,0.382569
pic_2017535708,0.069198
pic_2017583372,0.033405
pic_2017587708,0.965102
pic_2017597439,0.500576
pic_2017601697,0.640833
pic_2017621326,0.982291
pic_2017636074,0.674055
pic_2017649659,0.526638
pic_2017658216,0.810273
pic_2017677074,0.007243
pic_2017685828,0.728159
pic_2017689538,0.123349
pic_2017694541,0.719088
pic_2017729872,0.891168
pic_2017739757,0.995762
pic_2017742999,0.645695
pic_2017779932,0.387051
pic_2017783869,0.935351
pic_2017783909,0.066564
pic_2017789974,0.374067
pic_2017792630,0.155811
pic_2017801181,0.413162
pic_2017838391,0.518727
pic_2017859755,0.883467
pic_2017877880,0.985123
pic_2017881565,0.570050
pic_2017951704,0.358251
pic_2017974090,0.937396
pic_2018032418,0.830621
pic_2018055561,0.707385
pic_2018069189,0.037306
pic_2018074043,0.790839
pic_2018086934,0.663971
pic_2018094563,0.481996
pic_2018128228,0.023272
pic_2018146776,0.355053
pic_2018148594,0.589628
pic_2018170146,0.160448
pic_2018181512,0.901993
pic_2018189735,0.115872
pic_2018210178,0.546242
pic_2018226160,0.352841
pic_2018239349,0.714279
pic_2018247011,0.059944
pic_2018290127,0.029222
pic_2018298711,0.087845
pic_2018329445,0.660278
pic_2018339246,0.433605
pic_2018348448,0.221461
pic_2018367519,0.063948
pic_2018371600,0.413172
pic_2018393033,0.904280
pic_2018445983,0.944271
pic_2018478890,0.321984
pic_2018483671,0.005663
pic_2018513993,0.452754
pic_2018518772,0.002216
pic_2018542667,0.993121
