pic_id,pred
pic_2011145773,0.758793
pic_2011166734,0.512116
pic_2011186376,0.001873
pic_2011212927,0.995157
pic_2011235335,0.548302
pic_2011236069,0.96852
pic_2011247002,0.065787
pic_2011247901,0.887899
pic_2011251049,0.207022
pic_2011258837,0.993614
pic_2011259751,0.001454
pic_2011284149,0.054298
pic_2011316301,0.001698
pic_2011341615,0.978843
pic_2011352608,0.009928
pic_2011354519,0.27564
pic_2011356400,0.051099
pic_2011356916,0.954525
pic_2011367246,0.012421
pic_2011389441,0.005419
pic_2011399634,0.983923
pic_2011404228,0.013283
pic_2011414574,0.03956
pic_2011425797,0.969214
pic_2011428824,0.940239
pic_2011451614,0.028336
pic_2011490905,0.398646
pic_2011514792,0.945805
pic_2011522856,0.054645
pic_2011523481,0.462685
pic_2011548633,0.798733
pic_2011591580,0.981672
pic_2011624617,0.010189
pic_2011630482,0.022
pic_2011652161,0.363384
pic_2011663815,0.992183
pic_2011679310,0.030331
pic_2011722359,0.972819
pic_2011723191,0.044762
pic_2011726745,0.999019
pic_2011731608,0.061705
pic_2011733890,0.495599
pic_2011737455,0.989797
pic_2011769372,0.022965
pic_2011778242,0.000013
pic_2011789805,0.528036
pic_2011791045,0.608488
pic_2011795767,0.000069
pic_2011807962,0.95708
pic_2011811024,0.768631
pic_2011819135,0.001827
pic_2011821180,0.616576
pic_2011823406,0.091058
pic_2011826386,0.026679
pic_2011831958,0.929725
pic_2011838645,0.246072
pic_2011874176,0.02948
pic_2011876236,0.056689
pic_2011878126,0.958501
pic_2011906676,0.749442
pic_2011906733,0.000042
pic_2011908944,0.9794
pic_2011932917,0.58542
pic_2011964210,0.001533
pic_2011976306,0.997478
pic_2011989733,0.003048
pic_2012005500,0.943255
pic_2012009670,0.764402
pic_2012036152,0.468618
pic_2012086214,0.443768
pic_2012091670,0.010033
pic_2012096776,0.013366
pic_2012118030,0.794226
pic_2012166695,0.002506
pic_2012192944,0.385972
pic_2012194456,0.001361
pic_2012209273,0.99902
pic_2012212638,0.056127
pic_2012244182,0.826685
pic_2012252996,0.549956
pic_2012261018,0.002876
pic_2012275680,0.518593
pic_2012296256,0.052976
pic_2012307073,0.185116
pic_2012310878,0.053466
pic_2012331000,0.992561
pic_2012395164,0.005104
pic_2012408948,0.04943
pic_2012418303,0.032129
pic_2012433286,0.001215
pic_2012463016,0.970641
pic_2012480917,0.988376
pic_2012496158,0.460745
pic_2012502256,0.655237
pic_2012503722,0.002974
pic_2012512050,0.515949
pic_2012539617,0.97163
pic_2012560161,0.053892
pic_2012581677,0.236917
pic_2012585303,0.014567
pic_2012628859,0.000588
pic_2012638736,0.081587
pic_2012676778,0.979307
pic_2012691027,0.989053
pic_2012707518,0.284646
pic_2012711229,0.843668
pic_2012716293,0.030962
pic_2012778223,0.013941
pic_2012784224,0.987098
pic_2012824788,0.004954
pic_2012831518,0.000063
pic_2012848652,0.973801
pic_2012848696,0.691601
pic_2012855240,0.048176
pic_2012862797,0.159063
pic_2012875740,0.031523
pic_2012890173,0.999347
pic_2012892473,0.185938
pic_2012919232,0.793899
pic_2012928649,0.026225
pic_2012937741,0.610786
pic_2012952717,0.002557
pic_2012988233,0.930057
pic_2012992470,0.091897
pic_2013012299,0.177892
pic_2013042072,0.00006
pic_2013043624,0.812652
pic_2013074685,0.702108
pic_2013083156,0.004869
pic_2013086370,0.215355
pic_2013102664,0.999652
pic_2013111933,0.906248
pic_2013148896,0.470977
pic_2013151460,0.227416
pic_2013204182,0.745873
pic_2013235352,0.028864
pic_2013244214,0.000251
pic_2013245805,0.000215
pic_2013262369,0.793801
pic_2013294225,0.003943
pic_2013296929,0.013331
pic_2013296958,0.998986
pic_2013324743,0.918999
pic_2013335134,0.024803
pic_2013339434,0.261441
pic_2013341266,0.793562
pic_2013341819,0.075898
pic_2013361219,0.000541
pic_2013411550,0.125792
pic_2013446749,0.981169
pic_2013475570,0.063612
pic_2013476155,0.004863
pic_2013547287,0.170019
pic_2013553108,0.603903
pic_2013556656,0.055761
pic_2013575487,0.522915
pic_2013581494,0.120999
pic_2013619498,0.001551
pic_2013623779,0.971468
pic_2013643175,0.190254
pic_2013652185,0.996108
pic_2013685829,0.000925
pic_2013715660,0.999726
pic_2013744742,0.998948
pic_2013760472,0.926107
pic_2013765655,0.0921
pic_2013771430,0.013468
pic_2013771446,0.994589
pic_2013796084,0.000488
pic_2013803483,0.091627
pic_2013813607,0.002733
pic_2013839209,0.019076
pic_2013881803,0.064454
pic_2013892829,0.00058
pic_2013905825,0.619104
pic_2013910531,0.956934
pic_2013913006,0.020128
pic_2013926914,0.842619
pic_2013939462,0.03343
pic_2013968362,0.905454
pic_2013976456,0.898109
pic_2013988901,0.024853
pic_2014035150,0.983846
pic_2014061184,0
pic_2014077763,0.331371
pic_2014086656,0.028977
pic_2014088945,0.991096
pic_2014096201,0.09092
pic_2014110584,0.997609
pic_2014158951,0.733017
pic_2014174067,0.0034
pic_2014177567,0.002379
pic_2014189542,0.976595
pic_2014217913,0.996481
pic_2014245276,0.096808
pic_2014245575,0.875307
