pic_id,pred
pic_2011145773,0.014787
pic_2011166734,0.982213
pic_2011186376,0.001153
pic_2011212927,0.999224
pic_2011235335,0.542576
pic_2011236069,0.948853
pic_2011247002,0.004364
pic_2011247901,0.126802
pic_2011251049,0.047535
pic_2011258837,0.815947
pic_2011259751,0.015328
pic_2011284149,0.033982
pic_2011316301,0.000705
pic_2011341615,0.720568
pic_2011352608,0.006363
pic_2011354519,0.936504
pic_2011356400,0.009165
pic_2011356916,0.890423
pic_2011367246,0.000022
pic_2011389441,0.000099
pic_2011399634,0.900451
pic_2011404228,0.004931
pic_2011414574,0.019286
pic_2011425797,0.527926
pic_2011428824,0.987857
pic_2011451614,0.982408
pic_2011490905,0.029981
pic_2011514792,0.631881
pic_2011522856,0.033331
pic_2011523481,0.857843
pic_2011548633,0.014965
pic_2011591580,0.681468
pic_2011624617,0.001387
pic_2011630482,0.125629
pic_2011652161,0.181637
pic_2011663815,0.99959
pic_2011679310,0.0016
pic_2011722359,0.984562
pic_2011723191,0.962098
pic_2011726745,0.993841
pic_2011731608,0.582599
pic_2011733890,0.717219
pic_2011737455,0.083146
pic_2011769372,0.26115
pic_2011778242,0.000037
pic_2011789805,0.376858
pic_2011791045,0.167502
pic_2011795767,0.00123
pic_2011807962,0.9588
pic_2011811024,0.851029
pic_2011819135,0.002273
pic_2011821180,0.004106
pic_2011823406,0.012324
pic_2011826386,0.000883
pic_2011831958,0.5494
pic_2011838645,0.360164
pic_2011874176,0.005545
pic_2011876236,0.549419
pic_2011878126,0.90322
pic_2011906676,0.988471
pic_2011906733,0.000034
pic_2011908944,0.547975
pic_2011932917,0.054168
pic_2011964210,0.006354
pic_2011976306,0.764313
pic_2011989733,0.003788
pic_2012005500,0.397905
pic_2012009670,0.010904
pic_2012036152,0.068253
pic_2012086214,0.321687
pic_2012091670,0.005111
pic_2012096776,0.444308
pic_2012118030,0.18643
pic_2012166695,0.002528
pic_2012192944,0.150544
pic_2012194456,0.000026
pic_2012209273,0.994874
pic_2012212638,0.195299
pic_2012244182,0.029443
pic_2012252996,0.026606
pic_2012261018,0.003752
pic_2012275680,0.249416
pic_2012296256,0.400134
pic_2012307073,0.001123
pic_2012310878,0.046561
pic_2012331000,0.998246
pic_2012395164,0.293209
pic_2012408948,0.038823
pic_2012418303,0.000159
pic_2012433286,0.000202
pic_2012463016,0.276077
pic_2012480917,0.993074
pic_2012496158,0.427286
pic_2012502256,0.017653
pic_2012503722,0.065531
pic_2012512050,0.088368
pic_2012539617,0.57579
pic_2012560161,0.958617
pic_2012581677,0.091925
pic_2012585303,0.105034
pic_2012628859,0.015419
pic_2012638736,0.011602
pic_2012676778,0.936389
pic_2012691027,0.788199
pic_2012707518,0.91056
pic_2012711229,0.945098
pic_2012716293,0.08775
pic_2012778223,0.000874
pic_2012784224,0.958269
pic_2012824788,0.152271
pic_2012831518,0.00004
pic_2012848652,0.999478
pic_2012848696,0.968351
pic_2012855240,0.882423
pic_2012862797,0.001395
pic_2012875740,0.085802
pic_2012890173,0.977009
pic_2012892473,0.003712
pic_2012919232,0.436051
pic_2012928649,0.000347
pic_2012937741,0.042823
pic_2012952717,0.000212
pic_2012988233,0.341029
pic_2012992470,0.000066
pic_2013012299,0.01008
pic_2013042072,0.001089
pic_2013043624,0.609118
pic_2013074685,0.778659
pic_2013083156,0.009134
pic_2013086370,0.484484
pic_2013102664,0.914032
pic_2013111933,0.730756
pic_2013148896,0.742399
pic_2013151460,0.275151
pic_2013204182,0.548076
pic_2013235352,0.005067
pic_2013244214,0.001996
pic_2013245805,0.021267
pic_2013262369,0.389831
pic_2013294225,0.087568
pic_2013296929,0.01545
pic_2013296958,0.885633
pic_2013324743,0.108042
pic_2013335134,0.001952
pic_2013339434,0.095621
pic_2013341266,0.466591
pic_2013341819,0.019986
pic_2013361219,0.000227
pic_2013411550,0.008837
pic_2013446749,0.408143
pic_2013475570,0.233077
pic_2013476155,0.000245
pic_2013547287,0.229559
pic_2013553108,0.835093
pic_2013556656,0.055818
pic_2013575487,0.490391
pic_2013581494,0.015256
pic_2013619498,0.000051
pic_2013623779,0.994409
pic_2013643175,0.705049
pic_2013652185,0.997832
pic_2013685829,0.000112
pic_2013715660,0.995497
pic_2013744742,0.935518
pic_2013760472,0.859146
pic_2013765655,0.00033
pic_2013771430,0.00783
pic_2013771446,0.963277
pic_2013796084,0.529647
pic_2013803483,0.045141
pic_2013813607,0.000192
pic_2013839209,0.11515
pic_2013881803,0.038695
pic_2013892829,0.001312
pic_2013905825,0.874716
pic_2013910531,0.96469
pic_2013913006,0.002619
pic_2013926914,0.748112
pic_2013939462,0.000775
pic_2013968362,0.756001
pic_2013976456,0.971616
pic_2013988901,0.000632
pic_2014035150,0.99059
pic_2014061184,0.000043
pic_2014077763,0.87111
pic_2014086656,0.041871
pic_2014088945,0.979074
pic_2014096201,0.001898
pic_2014110584,0.039479
pic_2014158951,0.95742
pic_2014174067,0.005359
pic_2014177567,0.037855
pic_2014189542,0.56977
pic_2014217913,0.930762
pic_2014245276,0.58427
pic_2014245575,0.881596
pic_2014251977,0.989523
pic_2014264294,0.661131
pic_2014267815,0.999935
pic_2014271495,0.072892
pic_2014282719,0.999566
pic_2014332898,0.815301
pic_2014334750,0.062042
pic_2014335105,0.313863
pic_2014346074,0.84638
pic_2014355299,0.000769
pic_2014360333,0.003721
pic_2014380194,0.116812
pic_2014396805,0.843584
pic_2014398165,0.016187
pic_2014419772,0.803893
pic_2014472693,0.803248
pic_2014474516,0.054805
pic_2014479055,0.000224
pic_2014480161,0.032698
pic_2014514551,0.063979
pic_2014524690,0.62613
pic_2014526675,0.087326
pic_2014527909,0.944047
pic_2014546026,0.022684
pic_2014601256,0.929994
pic_2014645696,0.927006
pic_2014659766,0.435724
pic_2014667281,0.996197
pic_2014702424,0.719186
pic_2014707914,0.467323
pic_2014720852,0.054445
pic_2014723554,0.10813
pic_2014723684,0.003931
pic_2014745884,0.000177
pic_2014766408,0.766058
pic_2014776398,0.793661
pic_2014810478,0.849124
pic_2014811997,0.001534
pic_2014831235,0.015698
pic_2014862843,0.361191
pic_2014879589,0.000258
pic_2014899753,0.966949
pic_2014901704,0.047411
pic_2014936269,0.004483
pic_2014936405,0.798617
pic_2014941928,0.00001
pic_2014998269,0.854258
pic_2015000816,0.000474
pic_2015019704,0.727518
pic_2015051061,0.030272
pic_2015053162,0.94286
pic_2015059393,0.00873
pic_2015064119,0.997221
pic_2015089359,0.232208
pic_2015120766,0.139509
pic_2015122325,0.975392
pic_2015143006,0.98823
pic_2015167436,0.002656
pic_2015169779,0.024929
pic_2015172112,0.153096
pic_2015175227,0.818501
pic_2015176000,0.000332
pic_2015189565,0.118096
pic_2015191600,0.332074
pic_2015192134,0.987508
pic_2015212761,0.001421
pic_2015230819,0.001945
pic_2015244138,0.552363
pic_2015251328,0.044408
pic_2015286276,0.000263
pic_2015301079,0.943358
pic_2015319229,0.001894
pic_2015323165,0.010693
pic_2015354275,0.98486
pic_2015385127,0.952802
pic_2015428589,0.996472
pic_2015447616,0.444637
pic_2015458049,0.983229
pic_2015467374,0.998496
pic_2015503965,0.997807
pic_2015506184,0.894745
pic_2015532365,0.814112
pic_2015564858,0.000694
pic_2015589571,0.462645
pic_2015603470,0.998246
pic_2015608115,0.00261
pic_2015625174,0.137553
pic_2015643400,0.269735
pic_2015659391,0.965623
pic_2015689265,0.001239
pic_2015696082,0.984256
pic_2015729308,0.00053
pic_2015730222,0.527608
pic_2015731714,0.016106
pic_2015735915,0.999191
pic_2015742003,0.956067
pic_2015781045,0.000052
pic_2015815372,0.994848
pic_2015825757,0.751699
pic_2015845554,0.516043
pic_2015857874,0.914498
pic_2015861004,0.013621
pic_2015922870,0.46212
pic_2015922965,0.441178
pic_2015926276,0.922423
pic_2015926499,0.106689
pic_2015931624,0.995496
pic_2015943500,0.152474
pic_2015945571,0.83395
pic_2015965753,0.322597
pic_2015987737,0.993869
pic_2016002102,0.003644
pic_2016056805,0.839359
pic_2016085160,0.143917
pic_2016096455,0.002342
pic_2016107266,0.64444
pic_2016125534,0.91784
pic_2016153040,0.474094
pic_2016163529,0.011178
pic_2016177310,0.165281
pic_2016192242,0.988143
pic_2016220991,0.00074
pic_2016221355,0.974627
pic_2016225698,0.000843
pic_2016225840,0.845901
pic_2016225951,0.953211
pic_2016226651,0.040288
pic_2016246073,0.292603
pic_2016250424,0.00089
pic_2016257149,0.881385
pic_2016282117,0.000322
pic_2016305389,0.701581
pic_2016324294,0.962935
pic_2016340569,0.00211
pic_2016348355,0.000287
pic_2016438646,0.134025
pic_2016469996,0.996354
pic_2016472130,0.365283
pic_2016510983,0.000919
pic_2016557632,0.190035
pic_2016558882,0.146763
pic_2016563000,0.001215
pic_2016572604,0.602997
pic_2016579588,0.039836
pic_2016605151,0.999268
pic_2016612297,0.863468
pic_2016623906,0.002728
pic_2016634710,0.00035
pic_2016642669,0.788735
pic_2016658199,0.688441
pic_2016681360,0.973601
pic_2016696551,0.191736
pic_2016702986,0.025702
pic_2016708992,0.48983
pic_2016741299,0.196707
pic_2016765154,0.130756
pic_2016777931,0.910192
pic_2016780765,0.660792
pic_2016790202,0.001262
pic_2016796689,0.406171
pic_2016805819,0.070252
pic_2016809969,0.894932
pic_2016830977,0.065759
pic_2016844833,0.994991
pic_2016847412,0.070257
pic_2016853097,0.976171
pic_2016880862,0.532663
pic_2016881103,0.001988
pic_2016890676,0.992748
pic_2016915746,0.585353
pic_2016919438,0.997169
pic_2016924156,0.112086
pic_2016969207,0.001255
pic_2016976658,0.997292
pic_2016985194,0.000574
pic_2016999510,0.541726
pic_2017011689,0.001583
pic_2017037702,0.919487
pic_2017046579,0.977048
pic_2017073824,0.964286
pic_2017077252,0.001904
pic_2017123437,0.82353
pic_2017167105,0.410579
pic_2017172411,0.012641
pic_2017183350,0.433224
pic_2017196122,0.953889
pic_2017206219,0.555406
pic_2017215713,0.040459
pic_2017239321,0.278218
pic_2017239995,0.012304
pic_2017250426,0.992767
pic_2017256434,0.002446
pic_2017261330,0.92345
pic_2017276280,0.994116
pic_2017283231,0.495737
pic_2017299852,0.001746
pic_2017304601,0.012155
pic_2017304659,0.018107
pic_2017328786,0.000534
pic_2017330428,0.000165
pic_2017349748,0.000853
pic_2017350898,0.986383
pic_2017352596,0.745116
pic_2017372407,0.020178
pic_2017384945,0.871608
pic_2017432493,0.004478
pic_2017474198,0.013766
pic_2017495570,0.729697
pic_2017535708,0.007519
pic_2017583372,0.000605
pic_2017587708,0.998555
pic_2017597439,0.510712
pic_2017601697,0.976115
pic_2017621326,0.996363
pic_2017636074,0.963129
pic_2017649659,0.965558
pic_2017658216,0.921779
pic_2017677074,0.01689
pic_2017685828,0.991152
pic_2017689538,0.039854
pic_2017694541,0.871807
pic_2017729872,0.982835
pic_2017739757,0.998337
pic_2017742999,0.492291
pic_2017779932,0.091984
pic_2017783869,0.564472
pic_2017783909,0.260385
pic_2017789974,0.063677
pic_2017792630,0.009798
pic_2017801181,0.053683
pic_2017838391,0.704146
pic_2017859755,0.94098
pic_2017877880,0.997652
pic_2017881565,0.060926
pic_2017951704,0.151164
pic_2017974090,0.994543
pic_2018032418,0.862324
pic_2018055561,0.796991
pic_2018069189,0.170032
pic_2018074043,0.959121
pic_2018086934,0.111852
pic_2018094563,0.071099
pic_2018128228,0.001879
pic_2018146776,0.202039
pic_2018148594,0.008008
pic_2018170146,0.033032
pic_2018181512,0.929226
pic_2018189735,0.147508
pic_2018210178,0.17136
pic_2018226160,0.420401
pic_2018239349,0.981096
pic_2018247011,0.019259
pic_2018290127,0.000048
pic_2018298711,0.015495
pic_2018329445,0.55755
pic_2018339246,0.450742
pic_2018348448,0.291452
pic_2018367519,0.023174
pic_2018371600,0.095777
pic_2018393033,0.971614
pic_2018445983,0.939444
pic_2018478890,0.032941
pic_2018483671,0.000189
pic_2018513993,0.880578
pic_2018518772,0.000767
pic_2018542667,0.999058
pic_2018558091,0.971937
pic_2018560046,0.241972
pic_2018571997,0.955292
pic_2018574101,0.000817
pic_2018582225,0.997117
pic_2018598170,0.115509
pic_2018618445,0.632206
pic_2018646885,0.986275
pic_2018653876,0.980659
pic_2018655871,0.000132
pic_2018664464,0.002393
pic_2018665228,0.992022
pic_2018683636,0.924264
pic_2018695670,0.974379
pic_2018752243,0.385497
pic_2018761807,0.945784
pic_2018819995,0.133647
pic_2018822827,0.008624
pic_2018823722,0.852767
pic_2018862596,0.115911
pic_2018877925,0.003298
pic_2018882713,0.001618
pic_2018884730,0.00096
pic_2018885423,0.997838
pic_2018891099,0.007231
pic_2018902070,0.041289
pic_2018932876,0.008935
pic_2018961614,0.913725
