pic_id,pred
pic_2011145773,0.045155
pic_2011166734,0.953446
pic_2011186376,0.000854
pic_2011212927,0.997786
pic_2011235335,0.586762
pic_2011236069,0.947968
pic_2011247002,0.013633
pic_2011247901,0.035226
pic_2011251049,0.060185
pic_2011258837,0.837054
pic_2011259751,0.008284
pic_2011284149,0.039758
pic_2011316301,0.001058
pic_2011341615,0.708234
pic_2011352608,0.004530
pic_2011354519,0.812139
pic_2011356400,0.017198
pic_2011356916,0.871488
pic_2011367246,0.000092
pic_2011389441,0.000179
pic_2011399634,0.722754
pic_2011404228,0.005385
pic_2011414574,0.008547
pic_2011425797,0.527988
pic_2011428824,0.982457
pic_2011451614,0.918168
pic_2011490905,0.023175
pic_2011514792,0.683502
pic_2011522856,0.071862
pic_2011523481,0.793229
pic_2011548633,0.030367
pic_2011591580,0.551131
pic_2011624617,0.001134
pic_2011630482,0.055956
pic_2011652161,0.222539
pic_2011663815,0.999002
pic_2011679310,0.002599
pic_2011722359,0.950437
pic_2011723191,0.973748
pic_2011726745,0.972596
pic_2011731608,0.742626
pic_2011733890,0.701002
pic_2011737455,0.074089
pic_2011769372,0.206796
pic_2011778242,0.000126
pic_2011789805,0.265846
pic_2011791045,0.240050
pic_2011795767,0.002641
pic_2011807962,0.942315
pic_2011811024,0.923554
pic_2011819135,0.007821
pic_2011821180,0.006741
pic_2011823406,0.018026
pic_2011826386,0.001073
pic_2011831958,0.709480
pic_2011838645,0.157098
pic_2011874176,0.006860
pic_2011876236,0.571822
pic_2011878126,0.787047
pic_2011906676,0.954992
pic_2011906733,0.000210
pic_2011908944,0.248462
pic_2011932917,0.068067
pic_2011964210,0.009114
pic_2011976306,0.881000
pic_2011989733,0.002721
pic_2012005500,0.318087
pic_2012009670,0.031064
pic_2012036152,0.042407
pic_2012086214,0.462755
pic_2012091670,0.004795
pic_2012096776,0.470876
pic_2012118030,0.133006
pic_2012166695,0.002761
pic_2012192944,0.089970
pic_2012194456,0.000150
pic_2012209273,0.980878
pic_2012212638,0.172722
pic_2012244182,0.019856
pic_2012252996,0.015347
pic_2012261018,0.007882
pic_2012275680,0.126292
pic_2012296256,0.400578
pic_2012307073,0.002992
pic_2012310878,0.056287
pic_2012331000,0.994451
pic_2012395164,0.196739
pic_2012408948,0.045637
pic_2012418303,0.000268
pic_2012433286,0.000431
pic_2012463016,0.522355
pic_2012480917,0.980726
pic_2012496158,0.400837
pic_2012502256,0.023710
pic_2012503722,0.086894
pic_2012512050,0.122511
pic_2012539617,0.569752
pic_2012560161,0.795784
pic_2012581677,0.102017
pic_2012585303,0.130740
pic_2012628859,0.028363
pic_2012638736,0.014908
pic_2012676778,0.905768
pic_2012691027,0.682939
pic_2012707518,0.843995
pic_2012711229,0.867572
pic_2012716293,0.043294
pic_2012778223,0.002186
pic_2012784224,0.970790
pic_2012824788,0.089274
pic_2012831518,0.000066
pic_2012848652,0.997236
pic_2012848696,0.984217
pic_2012855240,0.846030
pic_2012862797,0.001127
pic_2012875740,0.122196
pic_2012890173,0.931891
pic_2012892473,0.010650
pic_2012919232,0.428927
pic_2012928649,0.000530
pic_2012937741,0.033364
pic_2012952717,0.000788
pic_2012988233,0.310179
pic_2012992470,0.000092
pic_2013012299,0.019005
pic_2013042072,0.002028
pic_2013043624,0.582400
pic_2013074685,0.746294
pic_2013083156,0.008195
pic_2013086370,0.449402
pic_2013102664,0.918334
pic_2013111933,0.657141
pic_2013148896,0.577947
pic_2013151460,0.333276
pic_2013204182,0.413799
pic_2013235352,0.003229
pic_2013244214,0.001049
pic_2013245805,0.013251
pic_2013262369,0.478160
pic_2013294225,0.076771
pic_2013296929,0.013996
pic_2013296958,0.867148
pic_2013324743,0.053929
pic_2013335134,0.002294
pic_2013339434,0.080294
pic_2013341266,0.353341
pic_2013341819,0.054231
pic_2013361219,0.000159
pic_2013411550,0.009403
pic_2013446749,0.244452
pic_2013475570,0.207598
pic_2013476155,0.000420
pic_2013547287,0.081962
pic_2013553108,0.609207
pic_2013556656,0.060498
pic_2013575487,0.659674
pic_2013581494,0.017780
pic_2013619498,0.000100
pic_2013623779,0.985898
pic_2013643175,0.731512
pic_2013652185,0.994356
pic_2013685829,0.000205
pic_2013715660,0.991975
pic_2013744742,0.788162
pic_2013760472,0.841077
pic_2013765655,0.000532
pic_2013771430,0.009863
pic_2013771446,0.930532
pic_2013796084,0.357850
pic_2013803483,0.074476
pic_2013813607,0.000285
pic_2013839209,0.151923
pic_2013881803,0.033988
pic_2013892829,0.005121
pic_2013905825,0.810795
pic_2013910531,0.925923
pic_2013913006,0.003901
pic_2013926914,0.683972
pic_2013939462,0.001162
pic_2013968362,0.693778
pic_2013976456,0.950657
pic_2013988901,0.003754
pic_2014035150,0.982039
pic_2014061184,0.000087
pic_2014077763,0.709525
pic_2014086656,0.068868
pic_2014088945,0.966470
pic_2014096201,0.001985
pic_2014110584,0.030091
pic_2014158951,0.881422
pic_2014174067,0.007007
pic_2014177567,0.054290
pic_2014189542,0.590527
pic_2014217913,0.926307
pic_2014245276,0.526700
pic_2014245575,0.724876
pic_2014251977,0.986192
pic_2014264294,0.441850
pic_2014267815,0.999752
pic_2014271495,0.091669
pic_2014282719,0.998631
pic_2014332898,0.805110
pic_2014334750,0.045896
pic_2014335105,0.159045
pic_2014346074,0.823302
pic_2014355299,0.000517
pic_2014360333,0.009404
pic_2014380194,0.090672
pic_2014396805,0.675776
pic_2014398165,0.015556
pic_2014419772,0.877138
pic_2014472693,0.857470
pic_2014474516,0.064573
pic_2014479055,0.000389
pic_2014480161,0.014754
pic_2014514551,0.081429
pic_2014524690,0.486056
pic_2014526675,0.086904
pic_2014527909,0.918412
pic_2014546026,0.041936
pic_2014601256,0.716884
pic_2014645696,0.854373
pic_2014659766,0.532834
pic_2014667281,0.993255
pic_2014702424,0.727843
pic_2014707914,0.344644
pic_2014720852,0.124173
pic_2014723554,0.270215
pic_2014723684,0.004314
pic_2014745884,0.000221
pic_2014766408,0.639038
pic_2014776398,0.729095
pic_2014810478,0.802611
pic_2014811997,0.002437
pic_2014831235,0.041227
pic_2014862843,0.431722
