pic_id,pred
pic_2011145773,0.405450
pic_2011166734,0.949805
pic_2011186376,0.286682
pic_2011212927,0.987499
pic_2011235335,0.648108
pic_2011236069,0.978389
pic_2011247002,0.390951
pic_2011247901,0.397052
pic_2011251049,0.216070
pic_2011258837,0.886768
pic_2011259751,0.288215
pic_2011284149,0.499518
pic_2011316301,0.249062
pic_2011341615,0.974511
pic_2011352608,0.029639
pic_2011354519,0.834587
pic_2011356400,0.440236
pic_2011356916,0.919708
pic_2011367246,0.032747
pic_2011389441,0.012608
pic_2011399634,0.876780
pic_2011404228,0.553861
pic_2011414574,0.355201
pic_2011425797,0.767369
pic_2011428824,0.933579
pic_2011451614,0.970248
pic_2011490905,0.484919
pic_2011514792,0.932451
pic_2011522856,0.801788
pic_2011523481,0.929707
pic_2011548633,0.239732
pic_2011591580,0.984644
pic_2011624617,0.046027
pic_2011630482,0.211929
pic_2011652161,0.912000
pic_2011663815,0.993195
pic_2011679310,0.316559
pic_2011722359,0.977711
pic_2011723191,0.980206
pic_2011726745,0.987617
pic_2011731608,0.918151
pic_2011733890,0.873221
pic_2011737455,0.942327
pic_2011769372,0.952039
pic_2011778242,0.017219
pic_2011789805,0.908954
pic_2011791045,0.742037
pic_2011795767,0.171232
pic_2011807962,0.989037
pic_2011811024,0.951262
pic_2011819135,0.309175
pic_2011821180,0.823940
pic_2011823406,0.054481
pic_2011826386,0.092076
pic_2011831958,0.976415
pic_2011838645,0.786880
pic_2011874176,0.110376
pic_2011876236,0.963984
pic_2011878126,0.914221
pic_2011906676,0.968580
pic_2011906733,0.010128
pic_2011908944,0.776677
pic_2011932917,0.962225
pic_2011964210,0.406974
pic_2011976306,0.982873
pic_2011989733,0.571309
pic_2012005500,0.909601
pic_2012009670,0.680367
pic_2012036152,0.657047
pic_2012086214,0.903164
pic_2012091670,0.161083
pic_2012096776,0.747601
pic_2012118030,0.835853
pic_2012166695,0.732238
pic_2012192944,0.780808
pic_2012194456,0.033636
pic_2012209273,0.977513
pic_2012212638,0.743436
pic_2012244182,0.725368
pic_2012252996,0.473182
pic_2012261018,0.333402
pic_2012275680,0.802750
pic_2012296256,0.834984
pic_2012307073,0.045207
pic_2012310878,0.617531
pic_2012331000,0.988215
pic_2012395164,0.622029
pic_2012408948,0.738042
pic_2012418303,0.269270
pic_2012433286,0.170734
pic_2012463016,0.859313
pic_2012480917,0.984037
pic_2012496158,0.907267
pic_2012502256,0.953286
pic_2012503722,0.251732
pic_2012512050,0.744250
pic_2012539617,0.938590
pic_2012560161,0.986656
pic_2012581677,0.891088
pic_2012585303,0.343543
pic_2012628859,0.768497
pic_2012638736,0.668670
pic_2012676778,0.938887
pic_2012691027,0.969883
pic_2012707518,0.901953
pic_2012711229,0.853643
pic_2012716293,0.874145
pic_2012778223,0.118672
pic_2012784224,0.948155
pic_2012824788,0.569862
pic_2012831518,0.118405
pic_2012848652,0.992818
pic_2012848696,0.974039
pic_2012855240,0.947281
pic_2012862797,0.034647
pic_2012875740,0.726849
pic_2012890173,0.995895
pic_2012892473,0.725871
pic_2012919232,0.650544
pic_2012928649,0.105538
pic_2012937741,0.783806
pic_2012952717,0.248655
pic_2012988233,0.972340
pic_2012992470,0.022619
pic_2013012299,0.560076
pic_2013042072,0.560356
pic_2013043624,0.941379
pic_2013074685,0.987776
pic_2013083156,0.536681
pic_2013086370,0.541065
pic_2013102664,0.957798
pic_2013111933,0.944567
pic_2013148896,0.977209
pic_2013151460,0.803860
pic_2013204182,0.897811
pic_2013235352,0.578555
pic_2013244214,0.345493
pic_2013245805,0.286931
pic_2013262369,0.814716
pic_2013294225,0.220688
pic_2013296929,0.220977
pic_2013296958,0.913698
pic_2013324743,0.365789
pic_2013335134,0.114857
pic_2013339434,0.303863
pic_2013341266,0.901018
pic_2013341819,0.379278
pic_2013361219,0.085972
pic_2013411550,0.493161
pic_2013446749,0.970810
pic_2013475570,0.684969
pic_2013476155,0.348578
pic_2013547287,0.835251
pic_2013553108,0.614653
pic_2013556656,0.418248
pic_2013575487,0.819563
pic_2013581494,0.480009
pic_2013619498,0.164067
pic_2013623779,0.976424
pic_2013643175,0.668301
pic_2013652185,0.986591
pic_2013685829,0.190846
pic_2013715660,0.984639
pic_2013744742,0.970625
pic_2013760472,0.903479
pic_2013765655,0.022019
pic_2013771430,0.812187
pic_2013771446,0.958534
pic_2013796084,0.801885
pic_2013803483,0.230509
pic_2013813607,0.053569
pic_2013839209,0.902202
pic_2013881803,0.729553
pic_2013892829,0.168920
pic_2013905825,0.911705
pic_2013910531,0.984450
pic_2013913006,0.051313
pic_2013926914,0.956277
pic_2013939462,0.072595
pic_2013968362,0.884385
pic_2013976456,0.863368
pic_2013988901,0.069227
pic_2014035150,0.990258
pic_2014061184,0.002657
pic_2014077763,0.950288
pic_2014086656,0.351102
pic_2014088945,0.979384
pic_2014096201,0.398748
pic_2014110584,0.931122
pic_2014158951,0.868104
pic_2014174067,0.136092
pic_2014177567,0.119999
pic_2014189542,0.968987
pic_2014217913,0.994129
pic_2014245276,0.768917
pic_2014245575,0.935363
pic_2014251977,0.975412
pic_2014264294,0.962943
pic_2014267815,0.998353
pic_2014271495,0.360268
pic_2014282719,0.984086
pic_2014332898,0.986552
pic_2014334750,0.422641
pic_2014335105,0.672930
pic_2014346074,0.958381
pic_2014355299,0.024008
pic_2014360333,0.021485
pic_2014380194,0.497526
pic_2014396805,0.844209
pic_2014398165,0.216684
pic_2014419772,0.984576
pic_2014472693,0.858052
pic_2014474516,0.880588
pic_2014479055,0.026098
pic_2014480161,0.900914
pic_2014514551,0.798572
pic_2014524690,0.954898
pic_2014526675,0.564688
pic_2014527909,0.954883
pic_2014546026,0.759513
pic_2014601256,0.973137
