pic_id,pred
pic_2011145773,0.142088
pic_2011166734,0.943449
pic_2011186376,0.060820
pic_2011212927,0.997929
pic_2011235335,0.671025
pic_2011236069,0.962200
pic_2011247002,0.426153
pic_2011247901,0.493022
pic_2011251049,0.743298
pic_2011258837,0.885303
pic_2011259751,0.379520
pic_2011284149,0.872651
pic_2011316301,0.201261
pic_2011341615,0.977427
pic_2011352608,0.098306
pic_2011354519,0.943827
pic_2011356400,0.815184
pic_2011356916,0.980492
pic_2011367246,0.022755
pic_2011389441,0.049849
pic_2011399634,0.978398
pic_2011404228,0.182006
pic_2011414574,0.644000
pic_2011425797,0.700452
pic_2011428824,0.967641
pic_2011451614,0.986798
pic_2011490905,0.993773
pic_2011514792,0.964579
pic_2011522856,0.346279
pic_2011523481,0.609042
pic_2011548633,0.479993
pic_2011591580,0.973467
pic_2011624617,0.658729
pic_2011630482,0.817135
pic_2011652161,0.896092
pic_2011663815,0.997913
pic_2011679310,0.445473
pic_2011722359,0.993945
pic_2011723191,0.993712
pic_2011726745,0.990724
pic_2011731608,0.876773
pic_2011733890,0.962222
pic_2011737455,0.992875
pic_2011769372,0.996621
pic_2011778242,0.095987
pic_2011789805,0.930282
pic_2011791045,0.832277
pic_2011795767,0.516682
pic_2011807962,0.992918
pic_2011811024,0.892872
pic_2011819135,0.348133
pic_2011821180,0.908939
pic_2011823406,0.175490
pic_2011826386,0.416319
pic_2011831958,0.979471
pic_2011838645,0.557387
pic_2011874176,0.278305
pic_2011876236,0.932208
pic_2011878126,0.978460
pic_2011906676,0.971167
pic_2011906733,0.152008
pic_2011908944,0.930430
pic_2011932917,0.913693
pic_2011964210,0.850314
pic_2011976306,0.991312
pic_2011989733,0.433740
pic_2012005500,0.917245
pic_2012009670,0.755157
pic_2012036152,0.795737
pic_2012086214,0.980171
pic_2012091670,0.062009
pic_2012096776,0.736792
pic_2012118030,0.750239
pic_2012166695,0.852466
pic_2012192944,0.948513
pic_2012194456,0.045481
pic_2012209273,0.995185
pic_2012212638,0.884416
pic_2012244182,0.591459
pic_2012252996,0.903072
pic_2012261018,0.305675
pic_2012275680,0.786876
pic_2012296256,0.847452
pic_2012307073,0.117248
pic_2012310878,0.661877
pic_2012331000,0.961901
pic_2012395164,0.381724
pic_2012408948,0.698716
pic_2012418303,0.197646
pic_2012433286,0.870054
pic_2012463016,0.574468
pic_2012480917,0.991142
pic_2012496158,0.985699
pic_2012502256,0.986676
pic_2012503722,0.644630
