pic_id,pred
pic_2011145773,0.360828
pic_2011166734,0.838546
pic_2011186376,0.128904
pic_2011212927,0.986363
pic_2011235335,0.732199
pic_2011236069,0.983359
pic_2011247002,0.259722
pic_2011247901,0.369282
pic_2011251049,0.165119
pic_2011258837,0.941116
pic_2011259751,0.100094
pic_2011284149,0.317977
pic_2011316301,0.208348
pic_2011341615,0.986246
pic_2011352608,0.052869
pic_2011354519,0.816857
pic_2011356400,0.556237
pic_2011356916,0.806187
pic_2011367246,0.025562
pic_2011389441,0.014301
pic_2011399634,0.847584
pic_2011404228,0.381598
pic_2011414574,0.281336
pic_2011425797,0.682199
pic_2011428824,0.938476
pic_2011451614,0.934246
pic_2011490905,0.774756
pic_2011514792,0.944191
pic_2011522856,0.797269
pic_2011523481,0.971531
pic_2011548633,0.257964
pic_2011591580,0.986724
pic_2011624617,0.113893
pic_2011630482,0.400889
pic_2011652161,0.830510
pic_2011663815,0.990686
pic_2011679310,0.379277
pic_2011722359,0.957188
pic_2011723191,0.950609
pic_2011726745,0.968004
pic_2011731608,0.905920
pic_2011733890,0.802808
pic_2011737455,0.917860
pic_2011769372,0.953613
pic_2011778242,0.016468
pic_2011789805,0.882819
pic_2011791045,0.781272
pic_2011795767,0.156945
pic_2011807962,0.987570
pic_2011811024,0.913525
pic_2011819135,0.240675
pic_2011821180,0.661569
pic_2011823406,0.058118
pic_2011826386,0.099887
pic_2011831958,0.944224
pic_2011838645,0.603796
pic_2011874176,0.267561
pic_2011876236,0.935407
pic_2011878126,0.896816
pic_2011906676,0.963858
pic_2011906733,0.005879
pic_2011908944,0.779806
pic_2011932917,0.912130
pic_2011964210,0.324436
pic_2011976306,0.989277
pic_2011989733,0.281928
pic_2012005500,0.955504
pic_2012009670,0.686604
pic_2012036152,0.529296
pic_2012086214,0.905108
pic_2012091670,0.182764
pic_2012096776,0.676596
pic_2012118030,0.720664
pic_2012166695,0.750395
pic_2012192944,0.761654
pic_2012194456,0.015193
pic_2012209273,0.923749
pic_2012212638,0.594948
pic_2012244182,0.706955
pic_2012252996,0.526345
pic_2012261018,0.215632
pic_2012275680,0.847938
pic_2012296256,0.940064
pic_2012307073,0.047204
pic_2012310878,0.595149
pic_2012331000,0.986936
pic_2012395164,0.554689
pic_2012408948,0.608100
pic_2012418303,0.133634
pic_2012433286,0.193716
pic_2012463016,0.761306
pic_2012480917,0.986598
pic_2012496158,0.896854
pic_2012502256,0.964169
pic_2012503722,0.147470
pic_2012512050,0.641210
pic_2012539617,0.925073
pic_2012560161,0.992977
pic_2012581677,0.887224
pic_2012585303,0.521203
pic_2012628859,0.540266
pic_2012638736,0.627139
pic_2012676778,0.953286
pic_2012691027,0.942527
pic_2012707518,0.885534
pic_2012711229,0.870343
pic_2012716293,0.911834
pic_2012778223,0.137846
pic_2012784224,0.930073
pic_2012824788,0.390569
pic_2012831518,0.036026
pic_2012848652,0.988670
pic_2012848696,0.961286
pic_2012855240,0.917462
pic_2012862797,0.025773
pic_2012875740,0.725237
pic_2012890173,0.991528
pic_2012892473,0.518462
pic_2012919232,0.704387
pic_2012928649,0.080492
pic_2012937741,0.678033
pic_2012952717,0.154393
pic_2012988233,0.968730
pic_2012992470,0.021547
pic_2013012299,0.427029
pic_2013042072,0.331968
pic_2013043624,0.913951
pic_2013074685,0.992175
pic_2013083156,0.266784
pic_2013086370,0.499553
pic_2013102664,0.922306
pic_2013111933,0.917265
pic_2013148896,0.970996
pic_2013151460,0.804461
pic_2013204182,0.834441
pic_2013235352,0.403432
pic_2013244214,0.430173
pic_2013245805,0.339085
pic_2013262369,0.753155
pic_2013294225,0.265916
pic_2013296929,0.161009
pic_2013296958,0.908578
pic_2013324743,0.232214
pic_2013335134,0.132091
pic_2013339434,0.464352
pic_2013341266,0.906709
pic_2013341819,0.443821
pic_2013361219,0.134644
pic_2013411550,0.553059
pic_2013446749,0.963538
pic_2013475570,0.599842
pic_2013476155,0.111324
pic_2013547287,0.776960
pic_2013553108,0.364944
pic_2013556656,0.221418
pic_2013575487,0.572655
pic_2013581494,0.409148
pic_2013619498,0.039069
pic_2013623779,0.969275
pic_2013643175,0.633587
pic_2013652185,0.977992
pic_2013685829,0.180307
pic_2013715660,0.989389
pic_2013744742,0.925443
pic_2013760472,0.928540
pic_2013765655,0.016312
pic_2013771430,0.655845
pic_2013771446,0.947357
pic_2013796084,0.612352
pic_2013803483,0.144097
pic_2013813607,0.026941
pic_2013839209,0.846962
pic_2013881803,0.800203
pic_2013892829,0.070822
pic_2013905825,0.881181
pic_2013910531,0.981131
pic_2013913006,0.033638
pic_2013926914,0.971280
pic_2013939462,0.043602
pic_2013968362,0.917333
pic_2013976456,0.788295
pic_2013988901,0.127254
pic_2014035150,0.990378
pic_2014061184,0.002180
pic_2014077763,0.926685
pic_2014086656,0.275820
pic_2014088945,0.972212
pic_2014096201,0.561956
pic_2014110584,0.893769
pic_2014158951,0.852622
pic_2014174067,0.381295
pic_2014177567,0.086207
pic_2014189542,0.985292
pic_2014217913,0.995977
pic_2014245276,0.595321
pic_2014245575,0.962334
pic_2014251977,0.922848
pic_2014264294,0.958328
pic_2014267815,0.997269
pic_2014271495,0.677926
pic_2014282719,0.975565
pic_2014332898,0.982989
pic_2014334750,0.343458
pic_2014335105,0.651059
pic_2014346074,0.957614
pic_2014355299,0.032155
pic_2014360333,0.018489
pic_2014380194,0.504941
pic_2014396805,0.893045
pic_2014398165,0.201487
pic_2014419772,0.984384
pic_2014472693,0.870295
pic_2014474516,0.857512
