pic_id,pred
pic_2011145773,0.071067
pic_2011166734,0.992402
pic_2011186376,0.193173
pic_2011212927,0.999105
pic_2011235335,0.889807
pic_2011236069,0.989776
pic_2011247002,0.652497
pic_2011247901,0.878109
pic_2011251049,0.612039
pic_2011258837,0.982475
pic_2011259751,0.015060
pic_2011284149,0.906050
pic_2011316301,0.235123
pic_2011341615,0.994961
pic_2011352608,0.067607
pic_2011354519,0.978130
pic_2011356400,0.923045
pic_2011356916,0.989050
pic_2011367246,0.007971
pic_2011389441,0.029302
pic_2011399634,0.989623
pic_2011404228,0.082499
pic_2011414574,0.649062
pic_2011425797,0.973309
pic_2011428824,0.937132
pic_2011451614,0.981114
pic_2011490905,0.916912
pic_2011514792,0.976652
pic_2011522856,0.733196
pic_2011523481,0.987864
pic_2011548633,0.457184
pic_2011591580,0.990929
pic_2011624617,0.112409
pic_2011630482,0.571146
pic_2011652161,0.972108
pic_2011663815,0.999047
pic_2011679310,0.297092
pic_2011722359,0.986692
pic_2011723191,0.992524
pic_2011726745,0.997660
pic_2011731608,0.815624
pic_2011733890,0.932389
pic_2011737455,0.980945
pic_2011769372,0.994533
pic_2011778242,0.003787
pic_2011789805,0.978432
pic_2011791045,0.969813
pic_2011795767,0.202215
pic_2011807962,0.996011
pic_2011811024,0.978523
pic_2011819135,0.560404
pic_2011821180,0.927052
pic_2011823406,0.058195
pic_2011826386,0.341189
pic_2011831958,0.992366
pic_2011838645,0.461193
pic_2011874176,0.789794
pic_2011876236,0.901030
pic_2011878126,0.986488
pic_2011906676,0.968777
pic_2011906733,0.030605
pic_2011908944,0.915016
pic_2011932917,0.868809
pic_2011964210,0.523938
pic_2011976306,0.997786
pic_2011989733,0.330741
pic_2012005500,0.976584
pic_2012009670,0.882578
pic_2012036152,0.667236
pic_2012086214,0.983017
pic_2012091670,0.170020
pic_2012096776,0.950392
pic_2012118030,0.318721
pic_2012166695,0.949046
pic_2012192944,0.867706
pic_2012194456,0.034112
pic_2012209273,0.997686
pic_2012212638,0.973949
