pic_id,pred,,,,
pic_2011145773,0.272942 ,,,,
pic_2011166734,0.822222 ,,,,
pic_2011186376,0.001973 ,,,,
pic_2011212927,0.986968 ,,,,
pic_2011235335,0.480397 ,,,,
pic_2011236069,0.911184 ,,,,
pic_2011247002,0.030434 ,,,,
pic_2011247901,0.366585 ,,,,
pic_2011251049,0.111556 ,,,,
pic_2011258837,0.836136 ,,,,
pic_2011259751,0.008501 ,,,,
pic_2011284149,0.097638 ,,,,
pic_2011316301,0.001936 ,,,,
pic_2011341615,0.732471 ,,,,
pic_2011352608,0.006389 ,,,,
pic_2011354519,0.689432 ,,,,
pic_2011356400,0.046079 ,,,,
pic_2011356916,0.886222 ,,,,
pic_2011367246,0.004203 ,,,,
pic_2011389441,0.002226 ,,,,
pic_2011399634,0.913864 ,,,,
pic_2011404228,0.027764 ,,,,
pic_2011414574,0.022782 ,,,,
pic_2011425797,0.527160 ,,,,
pic_2011428824,0.837504 ,,,,
pic_2011451614,0.601729 ,,,,
pic_2011490905,0.209193 ,,,,
pic_2011514792,0.665065 ,,,,
pic_2011522856,0.059009 ,,,,
pic_2011523481,0.479502 ,,,,
pic_2011548633,0.274553 ,,,,
pic_2011591580,0.798714 ,,,,
pic_2011624617,0.010554 ,,,,
pic_2011630482,0.071926 ,,,,
pic_2011652161,0.233579 ,,,,
pic_2011663815,0.979305 ,,,,
pic_2011679310,0.016005 ,,,,
pic_2011722359,0.954331 ,,,,
pic_2011723191,0.489494 ,,,,
pic_2011726745,0.988627 ,,,,
pic_2011731608,0.479387 ,,,,
pic_2011733890,0.595425 ,,,,
pic_2011737455,0.392641 ,,,,
pic_2011769372,0.172793 ,,,,
pic_2011778242,0.000479 ,,,,
pic_2011789805,0.379574 ,,,,
pic_2011791045,0.343664 ,,,,
pic_2011795767,0.001112 ,,,,
pic_2011807962,0.946203 ,,,,
pic_2011811024,0.854747 ,,,,
pic_2011819135,0.005242 ,,,,
pic_2011821180,0.213143 ,,,,
pic_2011823406,0.091493 ,,,,
pic_2011826386,0.012111 ,,,,
pic_2011831958,0.577652 ,,,,
pic_2011838645,0.267220 ,,,,
pic_2011874176,0.019588 ,,,,
pic_2011876236,0.386381 ,,,,
pic_2011878126,0.923728 ,,,,
pic_2011906676,0.872793 ,,,,
pic_2011906733,0.000150 ,,,,
pic_2011908944,0.559142 ,,,,
pic_2011932917,0.323161 ,,,,
pic_2011964210,0.029116 ,,,,
pic_2011976306,0.752383 ,,,,
pic_2011989733,0.006232 ,,,,
pic_2012005500,0.675868 ,,,,
pic_2012009670,0.273853 ,,,,
pic_2012036152,0.197600 ,,,,
pic_2012086214,0.315615 ,,,,
pic_2012091670,0.006174 ,,,,
pic_2012096776,0.297781 ,,,,
pic_2012118030,0.337249 ,,,,
