pic_id,pred
pic_2011145773,0.335818
pic_2011166734,0.967566
pic_2011186376,0.606337
pic_2011212927,0.999082
pic_2011235335,0.298211
pic_2011236069,0.956182
pic_2011247002,0.042264
pic_2011247901,0.454379
pic_2011251049,0.226256
pic_2011258837,0.994985
pic_2011259751,0.076598
pic_2011284149,0.959739
pic_2011316301,0.415806
pic_2011341615,0.996846
pic_2011352608,0.107735
pic_2011354519,0.977296
pic_2011356400,0.961455
pic_2011356916,0.916082
pic_2011367246,0.018928
pic_2011389441,0.064457
pic_2011399634,0.990429
pic_2011404228,0.516084
pic_2011414574,0.707207
pic_2011425797,0.974192
pic_2011428824,0.977505
pic_2011451614,0.998893
pic_2011490905,0.979715
pic_2011514792,0.998676
pic_2011522856,0.973382
pic_2011523481,0.968163
pic_2011548633,0.424894
pic_2011591580,0.995956
pic_2011624617,0.095443
pic_2011630482,0.211318
pic_2011652161,0.636086
pic_2011663815,0.995923
pic_2011679310,0.272575
pic_2011722359,0.998644
pic_2011723191,0.985324
pic_2011726745,0.996899
pic_2011731608,0.989242
pic_2011733890,0.994297
pic_2011737455,0.997535
pic_2011769372,0.984914
pic_2011778242,0.004810
pic_2011789805,0.999177
pic_2011791045,0.867550
pic_2011795767,0.545502
pic_2011807962,0.998654
pic_2011811024,0.971401
pic_2011819135,0.483303
pic_2011821180,0.957914
pic_2011823406,0.089075
pic_2011826386,0.659548
pic_2011831958,0.997343
pic_2011838645,0.789861
pic_2011874176,0.086894
pic_2011876236,0.993907
pic_2011878126,0.999090
pic_2011906676,0.996416
pic_2011906733,0.001209
pic_2011908944,0.986338
pic_2011932917,0.999077
pic_2011964210,0.052279
pic_2011976306,0.996823
pic_2011989733,0.490062
pic_2012005500,0.981866
pic_2012009670,0.947569
pic_2012036152,0.892776
pic_2012086214,0.993676
pic_2012091670,0.058869
pic_2012096776,0.940511
pic_2012118030,0.969845
pic_2012166695,0.978108
pic_2012192944,0.980758
pic_2012194456,0.001431
pic_2012209273,0.990657
pic_2012212638,0.675852
pic_2012244182,0.727651
pic_2012252996,0.558601
pic_2012261018,0.373477
pic_2012275680,0.969830
pic_2012296256,0.997142
pic_2012307073,0.385925
pic_2012310878,0.779744
pic_2012331000,0.999634
pic_2012395164,0.886625
pic_2012408948,0.919989
pic_2012418303,0.017423
pic_2012433286,0.053424
pic_2012463016,0.984001
pic_2012480917,0.999011
pic_2012496158,0.994263
