pic_id,pred
pic_2011145773,0.605717
pic_2011166734,0.991346
pic_2011186376,0.465201
pic_2011212927,0.999437
pic_2011235335,0.448748
pic_2011236069,0.964294
pic_2011247002,0.033182
pic_2011247901,0.443351
pic_2011251049,0.631342
pic_2011258837,0.990623
pic_2011259751,0.008244
pic_2011284149,0.917555
pic_2011316301,0.164304
pic_2011341615,0.997434
pic_2011352608,0.014697
pic_2011354519,0.963298
pic_2011356400,0.946769
pic_2011356916,0.822640
pic_2011367246,0.002143
pic_2011389441,0.011932
pic_2011399634,0.996432
pic_2011404228,0.337815
pic_2011414574,0.603793
pic_2011425797,0.920404
pic_2011428824,0.918226
pic_2011451614,0.996253
pic_2011490905,0.925832
pic_2011514792,0.998467
pic_2011522856,0.961087
pic_2011523481,0.995381
pic_2011548633,0.491129
pic_2011591580,0.997060
pic_2011624617,0.020459
pic_2011630482,0.364745
pic_2011652161,0.516855
pic_2011663815,0.997007
pic_2011679310,0.660510
pic_2011722359,0.993481
pic_2011723191,0.910617
pic_2011726745,0.998319
pic_2011731608,0.976068
pic_2011733890,0.984871
pic_2011737455,0.993691
pic_2011769372,0.991333
pic_2011778242,0.028691
pic_2011789805,0.998693
pic_2011791045,0.576732
pic_2011795767,0.048450
pic_2011807962,0.999291
pic_2011811024,0.983683
pic_2011819135,0.123556
pic_2011821180,0.981178
pic_2011823406,0.038552
pic_2011826386,0.369980
pic_2011831958,0.990078
pic_2011838645,0.559152
pic_2011874176,0.065761
pic_2011876236,0.992779
pic_2011878126,0.999798
pic_2011906676,0.962714
pic_2011906733,0.000388
pic_2011908944,0.989910
pic_2011932917,0.992062
pic_2011964210,0.684910
pic_2011976306,0.996622
pic_2011989733,0.180547
pic_2012005500,0.969997
pic_2012009670,0.935710
pic_2012036152,0.844306
pic_2012086214,0.987839
pic_2012091670,0.082379
pic_2012096776,0.964873
pic_2012118030,0.881526
pic_2012166695,0.941824
pic_2012192944,0.937716
pic_2012194456,0.000083
pic_2012209273,0.982249
pic_2012212638,0.239204
pic_2012244182,0.719540
pic_2012252996,0.871874
pic_2012261018,0.052903
pic_2012275680,0.982314
pic_2012296256,0.997254
pic_2012307073,0.315367
pic_2012310878,0.959547
pic_2012331000,0.999645
pic_2012395164,0.328586
pic_2012408948,0.606679
pic_2012418303,0.051630
pic_2012433286,0.040680
pic_2012463016,0.987743
pic_2012480917,0.999298
pic_2012496158,0.952407
pic_2012502256,0.997186
pic_2012503722,0.379775
pic_2012512050,0.987478
pic_2012539617,0.939441
pic_2012560161,0.996613
pic_2012581677,0.689310
pic_2012585303,0.157952
pic_2012628859,0.063815
pic_2012638736,0.938856
pic_2012676778,0.988961
pic_2012691027,0.995960
pic_2012707518,0.958313
pic_2012711229,0.789449
pic_2012716293,0.985792
pic_2012778223,0.057520
pic_2012784224,0.994080
pic_2012824788,0.900106
pic_2012831518,0.003522
pic_2012848652,0.998793
pic_2012848696,0.971364
pic_2012855240,0.972655
pic_2012862797,0.002619
pic_2012875740,0.808546
pic_2012890173,0.999716
pic_2012892473,0.710839
pic_2012919232,0.690954
pic_2012928649,0.129117
pic_2012937741,0.967684
pic_2012952717,0.063388
pic_2012988233,0.982352
pic_2012992470,0.000842
pic_2013012299,0.572747
pic_2013042072,0.122584
pic_2013043624,0.994478
pic_2013074685,0.984199
pic_2013083156,0.762471
pic_2013086370,0.262593
pic_2013102664,0.974792
pic_2013111933,0.956679
pic_2013148896,0.999046
pic_2013151460,0.797208
pic_2013204182,0.976887
pic_2013235352,0.808853
pic_2013244214,0.077731
pic_2013245805,0.904083
pic_2013262369,0.806888
pic_2013294225,0.858540
pic_2013296929,0.029440
pic_2013296958,0.982854
pic_2013324743,0.879382
pic_2013335134,0.178158
pic_2013339434,0.335990
pic_2013341266,0.870083
pic_2013341819,0.232869
pic_2013361219,0.510764
pic_2013411550,0.511019
pic_2013446749,0.998669
pic_2013475570,0.512522
pic_2013476155,0.282692
pic_2013547287,0.967601
pic_2013553108,0.306065
pic_2013556656,0.538780
pic_2013575487,0.852886
pic_2013581494,0.149733
pic_2013619498,0.003031
pic_2013623779,0.999098
pic_2013643175,0.406697
pic_2013652185,0.999876
pic_2013685829,0.020881
pic_2013715660,0.993720
pic_2013744742,0.989832
pic_2013760472,0.994172
pic_2013765655,0.000524
pic_2013771430,0.385254
pic_2013771446,0.993199
pic_2013796084,0.092855
pic_2013803483,0.003482
pic_2013813607,0.041256
pic_2013839209,0.979297
pic_2013881803,0.974622
pic_2013892829,0.214123
pic_2013905825,0.993884
pic_2013910531,0.996431
pic_2013913006,0.017065
pic_2013926914,0.975673
pic_2013939462,0.033505
pic_2013968362,0.965581
pic_2013976456,0.994163
pic_2013988901,0.194159
pic_2014035150,0.999304
pic_2014061184,0.000162
pic_2014077763,0.986557
pic_2014086656,0.440762
pic_2014088945,0.999935
pic_2014096201,0.381037
pic_2014110584,0.664597
pic_2014158951,0.960591
pic_2014174067,0.004047
pic_2014177567,0.051488
pic_2014189542,0.999039
pic_2014217913,0.999390
pic_2014245276,0.651983
pic_2014245575,0.995335
pic_2014251977,0.995845
pic_2014264294,0.958737
pic_2014267815,0.999933
pic_2014271495,0.458592
pic_2014282719,0.999821
pic_2014332898,0.996495
pic_2014334750,0.046797
pic_2014335105,0.787248
pic_2014346074,0.974749
pic_2014355299,0.038193
pic_2014360333,0.003996
pic_2014380194,0.976146
pic_2014396805,0.996357
pic_2014398165,0.423984
pic_2014419772,0.995234
pic_2014472693,0.997766
