pic_id,pred
pic_2011145773,0.522129
pic_2011166734,0.812787
pic_2011186376,0.186810
pic_2011212927,0.988460
pic_2011235335,0.841651
pic_2011236069,0.982258
pic_2011247002,0.272726
pic_2011247901,0.454586
pic_2011251049,0.522974
pic_2011258837,0.871731
pic_2011259751,0.144215
pic_2011284149,0.751171
pic_2011316301,0.476492
pic_2011341615,0.987428
pic_2011352608,0.035375
pic_2011354519,0.815864
pic_2011356400,0.802564
pic_2011356916,0.721769
pic_2011367246,0.100110
pic_2011389441,0.034461
pic_2011399634,0.980034
pic_2011404228,0.736711
pic_2011414574,0.641674
pic_2011425797,0.880229
pic_2011428824,0.956349
pic_2011451614,0.979943
pic_2011490905,0.904756
pic_2011514792,0.987946
pic_2011522856,0.711027
pic_2011523481,0.927713
pic_2011548633,0.413499
pic_2011591580,0.990274
pic_2011624617,0.098685
pic_2011630482,0.242705
pic_2011652161,0.860276
pic_2011663815,0.979360
pic_2011679310,0.613945
pic_2011722359,0.981091
pic_2011723191,0.942416
pic_2011726745,0.965128
pic_2011731608,0.923550
pic_2011733890,0.947247
pic_2011737455,0.975866
pic_2011769372,0.960800
pic_2011778242,0.077183
pic_2011789805,0.986546
pic_2011791045,0.846451
pic_2011795767,0.270340
pic_2011807962,0.994215
pic_2011811024,0.960096
pic_2011819135,0.243705
pic_2011821180,0.869772
pic_2011823406,0.110170
pic_2011826386,0.329720
pic_2011831958,0.983717
pic_2011838645,0.795010
pic_2011874176,0.154914
pic_2011876236,0.960460
pic_2011878126,0.984989
pic_2011906676,0.982534
pic_2011906733,0.017478
pic_2011908944,0.771892
pic_2011932917,0.972061
pic_2011964210,0.178542
pic_2011976306,0.985571
pic_2011989733,0.405092
pic_2012005500,0.888541
pic_2012009670,0.819032
pic_2012036152,0.800019
pic_2012086214,0.986698
pic_2012091670,0.205807
pic_2012096776,0.856178
pic_2012118030,0.803557
pic_2012166695,0.927935
pic_2012192944,0.838235
pic_2012194456,0.026410
pic_2012209273,0.965821
pic_2012212638,0.465499
pic_2012244182,0.793997
pic_2012252996,0.837847
pic_2012261018,0.320447
pic_2012275680,0.847600
pic_2012296256,0.983767
pic_2012307073,0.105556
pic_2012310878,0.832580
pic_2012331000,0.995693
pic_2012395164,0.760175
pic_2012408948,0.652715
pic_2012418303,0.285794
pic_2012433286,0.223063
pic_2012463016,0.796891
pic_2012480917,0.993005
pic_2012496158,0.958469
pic_2012502256,0.979819
pic_2012503722,0.101503
pic_2012512050,0.945744
pic_2012539617,0.908102
pic_2012560161,0.991469
pic_2012581677,0.933760
pic_2012585303,0.540131
pic_2012628859,0.401078
pic_2012638736,0.886708
pic_2012676778,0.936237
pic_2012691027,0.983135
pic_2012707518,0.964385
pic_2012711229,0.825208
pic_2012716293,0.960259
pic_2012778223,0.170715
pic_2012784224,0.992131
pic_2012824788,0.611670
pic_2012831518,0.016425
pic_2012848652,0.992235
pic_2012848696,0.979867
pic_2012855240,0.968645
