pic_id,pred
pic_2011145773,0.4474488
pic_2011166734,0.8532056
pic_2011186376,0.2522748
pic_2011212927,0.996272
pic_2011235335,0.5358976
pic_2011236069,0.9640214
pic_2011247002,0.0836646
pic_2011247901,0.4734034
pic_2011251049,0.3270258
pic_2011258837,0.93338
pic_2011259751,0.0491678
pic_2011284149,0.543349
pic_2011316301,0.211801
pic_2011341615,0.9362238
pic_2011352608,0.0348196
pic_2011354519,0.7937204
pic_2011356400,0.5542104
pic_2011356916,0.8610878
pic_2011367246,0.0267248
pic_2011389441,0.0232736
pic_2011399634,0.9702538
pic_2011404228,0.3217648
pic_2011414574,0.402304
pic_2011425797,0.854393
pic_2011428824,0.9560352
pic_2011451614,0.7971666
pic_2011490905,0.647786
pic_2011514792,0.912555
pic_2011522856,0.5466944
pic_2011523481,0.842357
pic_2011548633,0.428644
pic_2011591580,0.929286
pic_2011624617,0.0452326
pic_2011630482,0.1932794
pic_2011652161,0.5116476
pic_2011663815,0.9928126
pic_2011679310,0.3157922
pic_2011722359,0.9861194
pic_2011723191,0.7690434
pic_2011726745,0.9906412
pic_2011731608,0.7066328
pic_2011733890,0.8278466
pic_2011737455,0.808007
pic_2011769372,0.6442324
pic_2011778242,0.0221468
pic_2011789805,0.777862
pic_2011791045,0.6133446
pic_2011795767,0.1731182
pic_2011807962,0.981608
pic_2011811024,0.906968
pic_2011819135,0.1709328
pic_2011821180,0.6859092
pic_2011823406,0.0682358
pic_2011826386,0.277362
pic_2011831958,0.8900526
pic_2011838645,0.5500518
pic_2011874176,0.0685188
pic_2011876236,0.7106508
pic_2011878126,0.9691196
pic_2011906676,0.9359154
pic_2011906733,0.0038302
pic_2011908944,0.855103
pic_2011932917,0.7205576
pic_2011964210,0.1847236
pic_2011976306,0.9481614
pic_2011989733,0.2165074
pic_2012005500,0.8363128
pic_2012009670,0.6955234
pic_2012036152,0.6147944
pic_2012086214,0.7467336
pic_2012091670,0.0724398
pic_2012096776,0.6438472
pic_2012118030,0.7271168
pic_2012166695,0.5705802
pic_2012192944,0.658645
pic_2012194456,0.0058622
pic_2012209273,0.9865242
pic_2012212638,0.3263962
pic_2012244182,0.6194632
pic_2012252996,0.5689768
pic_2012261018,0.150691
pic_2012275680,0.7135506
pic_2012296256,0.6862546
pic_2012307073,0.1986174
pic_2012310878,0.5343796
pic_2012331000,0.9971558
pic_2012395164,0.4547398
pic_2012408948,0.4535272
pic_2012418303,0.077427
pic_2012433286,0.0637168
pic_2012463016,0.8030706
pic_2012480917,0.9945528
pic_2012496158,0.758634
pic_2012502256,0.7287384
pic_2012503722,0.2272424
pic_2012512050,0.7060534
pic_2012539617,0.8662794
pic_2012560161,0.79998
pic_2012581677,0.5501802
pic_2012585303,0.2938928
pic_2012628859,0.2095058
pic_2012638736,0.574352
pic_2012676778,0.9678346
pic_2012691027,0.9508874
pic_2012707518,0.8188812
pic_2012711229,0.8558734
pic_2012716293,0.6119096
pic_2012778223,0.0538856
pic_2012784224,0.9841822
pic_2012824788,0.518775
pic_2012831518,0.0099596
pic_2012848652,0.992507
pic_2012848696,0.9144924
pic_2012855240,0.7724436
pic_2012862797,0.0591896
pic_2012875740,0.5153814
pic_2012890173,0.9945356
pic_2012892473,0.4930962
pic_2012919232,0.6259854
pic_2012928649,0.2110748
pic_2012937741,0.6765428
pic_2012952717,0.063946
pic_2012988233,0.8456558
pic_2012992470,0.0255304
pic_2013012299,0.4265026
pic_2013042072,0.297109
pic_2013043624,0.875326
pic_2013074685,0.888198
pic_2013083156,0.4871302
pic_2013086370,0.355876
pic_2013102664,0.948676
pic_2013111933,0.856782
pic_2013148896,0.8395986
pic_2013151460,0.6090366
pic_2013204182,0.8355578
pic_2013235352,0.4978028
pic_2013244214,0.1408244
pic_2013245805,0.454361
pic_2013262369,0.7058448
pic_2013294225,0.423497
pic_2013296929,0.1413068
pic_2013296958,0.9294608
pic_2013324743,0.7236606
pic_2013335134,0.2052814
pic_2013339434,0.4275956
pic_2013341266,0.805311
pic_2013341819,0.1272242
pic_2013361219,0.2032964
pic_2013411550,0.3629506
pic_2013446749,0.8726832
pic_2013475570,0.4021958
pic_2013476155,0.1360194
pic_2013547287,0.661124
pic_2013553108,0.5989456
pic_2013556656,0.40554
pic_2013575487,0.7184732
pic_2013581494,0.2496472
pic_2013619498,0.0115866
pic_2013623779,0.9893106
pic_2013643175,0.487469
pic_2013652185,0.9957126
pic_2013685829,0.062772
pic_2013715660,0.9942354
pic_2013744742,0.978932
pic_2013760472,0.9444582
pic_2013765655,0.0239334
pic_2013771430,0.3408396
pic_2013771446,0.9850058
pic_2013796084,0.2961272
pic_2013803483,0.0537264
pic_2013813607,0.0308606
pic_2013839209,0.601079
pic_2013881803,0.59069
pic_2013892829,0.1743676
pic_2013905825,0.8890492
pic_2013910531,0.9813812
pic_2013913006,0.0357116
pic_2013926914,0.9053652
pic_2013939462,0.043293
pic_2013968362,0.9201934
pic_2013976456,0.9588248
pic_2013988901,0.124641
pic_2014035150,0.992756
pic_2014061184,0.000538
pic_2014077763,0.826522
pic_2014086656,0.2725028
pic_2014088945,0.9931656
pic_2014096201,0.3335224
pic_2014110584,0.7127986
pic_2014158951,0.8520204
pic_2014174067,0.1115396
pic_2014177567,0.0841672
pic_2014189542,0.9070528
pic_2014217913,0.984153
pic_2014245276,0.5752054
pic_2014245575,0.943719
pic_2014251977,0.9900318
pic_2014264294,0.7319802
pic_2014267815,0.97837
pic_2014271495,0.5014238
pic_2014282719,0.9904608
pic_2014332898,0.9542924
pic_2014334750,0.2392978
pic_2014335105,0.596362
pic_2014346074,0.8686554
pic_2014355299,0.0309614
pic_2014360333,0.0097454
pic_2014380194,0.7169282
pic_2014396805,0.9401562
pic_2014398165,0.4012342
pic_2014419772,0.859384
pic_2014472693,0.8854968
pic_2014474516,0.7300474
pic_2014479055,0.0089552
pic_2014480161,0.667755
pic_2014514551,0.79421
pic_2014524690,0.9187548
pic_2014526675,0.1331546
pic_2014527909,0.976411
pic_2014546026,0.4025232
pic_2014601256,0.9501646
pic_2014645696,0.8900218
pic_2014659766,0.8526806
pic_2014667281,0.9909972
pic_2014702424,0.756409
pic_2014707914,0.7518306
pic_2014720852,0.6045688
pic_2014723554,0.8173004
pic_2014723684,0.371965
pic_2014745884,0.0701802
pic_2014766408,0.9044112
pic_2014776398,0.6623986
pic_2014810478,0.8419876
pic_2014811997,0.2018948
pic_2014831235,0.688533
pic_2014862843,0.2045494
pic_2014879589,0.0138434
pic_2014899753,0.9799242
pic_2014901704,0.4815918
pic_2014936269,0.3772936
pic_2014936405,0.9493852
pic_2014941928,0.0006742
pic_2014998269,0.8282768
pic_2015000816,0.4445874
pic_2015019704,0.8731666
pic_2015051061,0.4834552
pic_2015053162,0.9778712
pic_2015059393,0.1775246
pic_2015064119,0.9954452
pic_2015089359,0.8045274
pic_2015120766,0.1387276
pic_2015122325,0.9770412
pic_2015143006,0.924769
pic_2015167436,0.1843614
pic_2015169779,0.3372882
pic_2015172112,0.6210504
pic_2015175227,0.9522986
pic_2015176000,0.3481798
pic_2015189565,0.2389034
pic_2015191600,0.754582
pic_2015192134,0.9945584
pic_2015212761,0.0258256
pic_2015230819,0.3551314
pic_2015244138,0.9033398
pic_2015251328,0.0605198
pic_2015286276,0.009097
pic_2015301079,0.973833
pic_2015319229,0.1299478
pic_2015323165,0.2779198
pic_2015354275,0.9953826
pic_2015385127,0.9714448
pic_2015428589,0.8224272
pic_2015447616,0.6982078
pic_2015458049,0.905264
pic_2015467374,0.999469
pic_2015503965,0.9912856
pic_2015506184,0.8427412
pic_2015532365,0.9518498
pic_2015564858,0.0313556
pic_2015589571,0.8825752
pic_2015603470,0.9248806
pic_2015608115,0.2406306
pic_2015625174,0.7269102
pic_2015643400,0.3955542
pic_2015659391,0.8996026
pic_2015689265,0.0412668
pic_2015696082,0.9678478
pic_2015729308,0.475725
pic_2015730222,0.6902298
pic_2015731714,0.3394818
pic_2015735915,0.9764272
pic_2015742003,0.9874016
pic_2015781045,0.126164
pic_2015815372,0.9972414
pic_2015825757,0.9449166
pic_2015845554,0.7139364
pic_2015857874,0.9361082
